text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",1,4,IBcCBqpMAKgLV0GwqZTPdGSCfjI,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",1,5,IBkAdw8BDvYjgE7Es0r8tcugnYs,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",1,6,IBcCBkRfy3QqJ0JXi8jyvFQTbzY,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",1,7,IBcCBjGXzugAikG7lo2WFU9civo,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",1,8,IBcCBmw0NcPlr0Uqmf39rVZQz2o,rš,rš,𓂋𓐰𓈙𓂉,𓂋𓈙𓂉,"['𓂋', '𓈙', '𓂉']",96170,rš,NOUN,,Schnupfen,,,0.0,"['𓂋', '𓈙', '𓂉']","['complete', 'complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",2,1,IBcCBtqatRnpWEiCjhd98y3LMsU,bnꞽ.w,bnꞽ.w,𓇜𓇋𓏲𓏌𓐰𓏥,𓇜𓇋𓏲𓏌𓏥,"['𓇜', '𓇋', '𓏲', '𓏌', '𓏥']",55570,bnꞽ.w,NOUN,,Dattelsaft,,,0.0,"['𓇜', '𓇋', '𓏲', '𓏌', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",3,1,IBcCBvWKpHxBUkQ9hPpmQZ8JFUE,mḥ,mḥ,𓎔𓐰𓏛,𓎔𓏛,"['𓎔', '𓏛']",73290,mḥ,VERB,,voll sein; füllen,,,0.0,"['𓎔', '𓏛']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",3,2,IBcCBkIfJ38LXUlTrOMpiYiAt9w,rʾ,rʾ,𓂋𓏤,𓂋𓏤,"['𓂋', '𓏤']",92570,rʾ,NOUN,,Öffnung; Tür,,,0.0,"['𓂋', '𓏤']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",3,3,IBcCBkUZuGQQBEWohFsN67cQQDc,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",3,4,IBcCBqovIFW81Eg4tMMQWc3WdFA,ꞽm,ꞽm,𓇋𓅓,𓇋𓅓,"['𓇋', '𓅓']",24640,ꞽm,ADV,,da; dort; davon; dadurch; damit,,,0.0,"['𓇋', '𓅓']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",4,2,IBcCBvXIkv8IFElhhWQN5NWgPkM,k.t,k.t,𓎢𓐰𓏏,𓎢𓏏,"['𓎢', '𓏏']",163760,ky,ADJ,,anderer,,,0.0,"['𓎢', '𓏏']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",4,3,IBcCBn8cKHoMAkixqeISGWip2Vw,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",4,4,IBcCBhCWTw7RvkQhmzQWeeQxW7k,dr,dr,𓂧𓐰𓂋𓐱𓂝,𓂧𓂋𓂝,"['𓂧', '𓂋', '𓂝']",180130,dr,VERB,,entfernen; vertreiben; vertilgen,,,0.0,"['𓂧', '𓂋', '𓂝']","['complete', 'complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",4,5,IBcCBvRQ9MYs1UH3rdAqNGLEg88,nꞽꜣ,nꞽꜣ,𓈖|lb𓇋𓄿𓂉,𓈖𓇋𓄿𓂉,"['𓈖', '𓇋', '𓄿', '𓂉']",79930,nꞽꜣ,NOUN,,Niesen (?),,,0.0,"['𓈖', '𓇋', '𓄿', '𓂉']","['complete', 'complete', 'complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",4,7,IBcCBh1aD9kZ7UD1gNmZ6oun6rg,m,m,𓅓,𓅓,['𓅓'],400007,m,PREP,,in; zu; an; aus; [lokal],,,0.0,['𓅓'],['complete']
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",4,8,IBcCBmU8baXmvU2Zh8QF2W4lByE,fnḏ,fnḏ,𓂉𓏤,𓂉𓏤,"['𓂉', '𓏤']",63920,fnḏ,NOUN,,Nase,,,0.0,"['𓂉', '𓏤']","['complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",5,1,IBcCBhKrXvTgOE9vmf7H8TblUgE,nꞽꜣꞽꜣ,nꞽꜣꞽꜣ,𓈖𓇋𓄿𓇋𓄿𓏲𓆰𓐰𓏥,𓈖𓇋𓄿𓇋𓄿𓏲𓆰𓏥,"['𓈖', '𓇋', '𓄿', '𓇋', '𓄿', '𓏲', '𓆰', '𓏥']",79950,nꞽꜣꞽꜣ,NOUN,,Minze (?),,,0.0,"['𓈖', '𓇋', '𓄿', '𓇋', '𓄿', '𓏲', '𓆰', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
4QZJJ2HEGBGDTIKGGBXB2L2NA4,"Medizinische Texte || pEbers || 90,14-91,1 = Eb 761-763: Heilmittel gegen Schnupfen",6,1,IBcCBrgi4Pyo40qdnTYFH3xKjQk,sꞽn,sꞽn,𓋴𓇋𓆛𓐰𓈖𓏌𓐰𓂝,𓋴𓇋𓆛𓈖𓏌𓂝,"['𓋴', '𓇋', '𓆛', '𓈖', '𓏌', '𓂝']",128320,zꞽn,VERB,,reiben; abreiben,,,0.0,"['𓋴', '𓇋', '𓆛', '𓈖', '𓏌', '𓂝']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
