id,group,addressee
b01_h116,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Asvins
b01_h117,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Asvins
b01_h118,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Asvins
b01_h119,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Asvins
b01_h120,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Asvins
b01_h121,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Indra
b01_h122,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",All the Gods
b01_h123,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Usas
b01_h124,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Usas
b01_h125,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Praise of the Generous Sacrificer
b01_h126,"Hymns of Kaksivat, the Son of Dirghatamas and Usij",Thanks for a Present
b01_h127,"Hymns of Parucchepa, Son of Divodasa",Agni
b01_h128,"Hymns of Parucchepa, Son of Divodasa",Agni
b01_h129,"Hymns of Parucchepa, Son of Divodasa",Indra
b01_h130,"Hymns of Parucchepa, Son of Divodasa",Indra
b01_h131,"Hymns of Parucchepa, Son of Divodasa",Indra
b01_h132,"Hymns of Parucchepa, Son of Divodasa",Indra
b01_h133,"Hymns of Parucchepa, Son of Divodasa",Indra
b01_h134,"Hymns of Parucchepa, Son of Divodasa",Vayu
b01_h135,"Hymns of Parucchepa, Son of Divodasa",Vayu or Indra and Vayu
b01_h136,"Hymns of Parucchepa, Son of Divodasa",Mitra and Varuna
b01_h137,"Hymns of Parucchepa, Son of Divodasa",Mitra and Varuna
b01_h138,"Hymns of Parucchepa, Son of Divodasa",Pusan
b01_h139,"Hymns of Parucchepa, Son of Divodasa",All the Gods
b01_h140,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h141,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h142,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Apri Hymn
b01_h143,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h144,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h145,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h146,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h147,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h148,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h149,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h150,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Agni
b01_h151,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Mitra and Varuna
b01_h152,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Mitra and Varuna
b01_h153,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Mitra and Varuna
b01_h154,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Vishnu
b01_h155,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Vishnu and Indra
b01_h156,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Vishnu
b01_h157,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Asvins
b01_h158,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Asvins
b01_h159,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Heaven and Earth
b01_h160,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Heaven and Earth
b01_h161,"Hymns of Dirghatamas, Son of Ucathya and Mamata",The Ribhus
b01_h162,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Sacrificial Horse
b01_h163,"Hymns of Dirghatamas, Son of Ucathya and Mamata",Praise of the Horse
b01_h164,"Hymns of Dirghatamas, Son of Ucathya and Mamata",All the Gods (Riddle Song)
b01_h165,Hymns of Agastya,"Dialogue Between Indra, the Maruts and Agastya"
b01_h166,Hymns of Agastya,The Maruts
b01_h167,Hymns of Agastya,The Maruts
b01_h168,Hymns of Agastya,The Maruts
b01_h169,Hymns of Agastya,Indra
b01_h170,Hymns of Agastya,"Dialogue Between Agastya, Indra and the Maruts"
b01_h171,Hymns of Agastya,The Maruts and Indra
b01_h172,Hymns of Agastya,The Maruts
b01_h173,Hymns of Agastya,Indra
b01_h174,Hymns of Agastya,Indra
b01_h175,Hymns of Agastya,Indra
b01_h176,Hymns of Agastya,Indra
b01_h177,Hymns of Agastya,Indra
b01_h178,Hymns of Agastya,Indra
b01_h179,Hymns of Agastya,Agastya and Lopamudra
b01_h180,Hymns of Agastya,Asvins
b01_h181,Hymns of Agastya,Asvins
b01_h182,Hymns of Agastya,Asvins
b01_h183,Hymns of Agastya,Asvins
b01_h184,Hymns of Agastya,Asvins
b01_h185,Hymns of Agastya,Heaven and Earth
b01_h186,Hymns of Agastya,All the Gods
b01_h187,Hymns of Agastya,Food and Drink
b01_h188,Hymns of Agastya,Apri Hymn
b01_h189,Hymns of Agastya,Agni
b01_h190,Hymns of Agastya,Brihaspati
b01_h191,Hymns of Agastya,Against Venomous Animals
b02_h001,Hymns to Agni,Agni
b02_h002,Hymns to Agni,Agni
b02_h003,Hymns to Agni,Apri Hymn
b02_h004,Hymns to Agni,Agni
b02_h005,Hymns to Agni,Agni
b02_h006,Hymns to Agni,Agni
b02_h007,Hymns to Agni,Agni
b02_h008,Hymns to Agni,Agni
b02_h009,Hymns to Agni,Agni
b02_h010,Hymns to Agni,Agni
b02_h011,Hymns to Indra,Indra
b02_h012,Hymns to Indra,Indra
b02_h013,Hymns to Indra,Indra
b02_h014,Hymns to Indra,Indra
b02_h015,Hymns to Indra,Indra
b02_h016,Hymns to Indra,Indra
b02_h017,Hymns to Indra,Indra
b02_h018,Hymns to Indra,Indra
b02_h019,Hymns to Indra,Indra
b02_h020,Hymns to Indra,Indra
b02_h021,Hymns to Indra,Indra
b02_h022,Hymns to Indra,Indra
b02_h023,Hymns to Brahmanaspati,Brahmanaspati
b02_h024,Hymns to Brahmanaspati,Brahmanaspati
b02_h025,Hymns to Brahmanaspati,Brahmanaspati
b02_h026,Hymns to Brahmanaspati,Brahmanaspati
b02_h027,Hymns to the Adityas,Adityas
b02_h028,Hymns to the Adityas,Varuna
b02_h029,Hymns to the Adityas,All the Gods
b02_h030,Hymns to Various Gods,Indra and Other Gods
b02_h031,Hymns to Various Gods,All the Gods
b02_h032,Hymns to Various Gods,Diverse Gods
b02_h033,Hymns to Various Gods,Rudra
b02_h034,Hymns to Various Gods,The Maruts
b02_h035,Hymns to Various Gods,Apam Napat
b02_h036,Hymns to Various Gods,Cycle of the Gods
b02_h037,Hymns to Various Gods,Cycle of the Gods
b02_h038,Hymns to Various Gods,Savitri
b02_h039,Hymns to Various Gods,Asvins
b02_h040,Hymns to Various Gods,Soma and  Pusan
b02_h041,Hymns to Various Gods,Diverse Gods
b02_h042,Hymns to Various Gods,Bird of Omen
b02_h043,Hymns to Various Gods,Bird of Omen
b03_h001,Hymns to Agni,Agni
b03_h002,Hymns to Agni,Agni Vaisvanara
b03_h003,Hymns to Agni,Agni Vaisvanara
b03_h004,Hymns to Agni,Apri Hymn
b03_h005,Hymns to Agni,Agni
b03_h006,Hymns to Agni,Agni
b03_h007,Hymns to Agni,Agni
b03_h008,Hymns to Agni,Sacrificial Post
b03_h009,Hymns to Agni,Agni
b03_h010,Hymns to Agni,Agni
b03_h011,Hymns to Agni,Agni
b03_h012,Hymns to Agni,Indra and Agni
b03_h013,Hymns to Agni,Agni
b03_h014,Hymns to Agni,Agni
b03_h015,Hymns to Agni,Agni
b03_h016,Hymns to Agni,Agni
b03_h017,Hymns to Agni,Agni
b03_h018,Hymns to Agni,Agni
b03_h019,Hymns to Agni,Agni
b03_h020,Hymns to Agni,Agni or All the Gods
b03_h021,Hymns to Agni,Agni
b03_h022,Hymns to Agni,Agni
b03_h023,Hymns to Agni,Agni
b03_h024,Hymns to Agni,Agni
b03_h025,Hymns to Agni,Agni
b03_h026,Hymns to Agni,Agni Vaisvanara
b03_h027,Hymns to Agni,Agni
b03_h028,Hymns to Agni,Agni
b03_h029,Hymns to Agni,Agni
b03_h030,Hymns to Indra,Indra
b03_h031,Hymns to Indra,Indra
b03_h032,Hymns to Indra,Indra
b03_h033,Hymns to Indra,Visvamitra and the Rivers
