id,label,strata
b01_h091_06_strata_b,M,n
b01_h091_06_strata_c,M,n
b01_h091_07_strata_a,M,n
b01_h091_07_strata_b,M,n
b01_h091_07_strata_c,M,n
b01_h091_08_strata_a,M,n
b01_h091_08_strata_b,M,n
b01_h091_08_strata_c,M,n
b01_h091_09_strata_a,P,n
b01_h091_09_strata_b,P,n
b01_h091_09_strata_c,P,n
b01_h091_10_strata_a,MR,n
b01_h091_10_strata_b,M,n
b01_h091_10_strata_c,M,n
b01_h091_11_strata_a,M,n
b01_h091_11_strata_b,M,n
b01_h091_11_strata_c,M,n
b01_h091_12_strata_a,M,n
b01_h091_12_strata_b,MR,n
b01_h091_12_strata_c,M,n
b01_h091_13_strata_a,M,n
b01_h091_13_strata_b,M,n
b01_h091_13_strata_c,M,n
b01_h091_14_strata_a,M,n
b01_h091_14_strata_b,M,n
b01_h091_14_strata_c,M,n
b01_h091_15_strata_a,M,n
b01_h091_15_strata_b,M,n
b01_h091_15_strata_c,M,n
b01_h091_16_strata_a,M,n
b01_h091_16_strata_b,M,n
b01_h091_16_strata_c,M,n
b01_h091_17_strata_a,M,n
b01_h091_17_strata_b,M,n
b01_h091_17_strata_c,M4,n
b01_h091_18_strata_a,M,n
b01_h091_18_strata_b,M,n
b01_h091_18_strata_c,M,n
b01_h091_18_strata_d,M,n
b01_h091_19_strata_a,M,n
b01_h091_19_strata_b,M,n
b01_h091_19_strata_c,M,n
b01_h091_19_strata_d,M,n
b01_h091_20_strata_a,M,n
b01_h091_20_strata_b,M,n
b01_h091_20_strata_c,M,n
b01_h091_20_strata_d,M,n
b01_h091_21_strata_a,M,n
b01_h091_21_strata_b,M,n
b01_h091_21_strata_c,M,n
b01_h091_21_strata_d,M,n
b01_h091_22_strata_a,M,n
b01_h091_22_strata_b,M,n
b01_h091_22_strata_c,M,n
b01_h091_22_strata_d,M,n
b01_h091_23_strata_a,M,n
b01_h091_23_strata_b,M,n
b01_h091_23_strata_c,M,n
b01_h091_23_strata_d,M,n
b01_h092_01_strata_a,M,n
b01_h092_01_strata_b,M,n
b01_h092_01_strata_c,M,n
b01_h092_01_strata_d,M,n
b01_h092_02_strata_a,M,n
b01_h092_02_strata_b,M,n
b01_h092_02_strata_c,M,n
b01_h092_02_strata_d,M,n
b01_h092_03_strata_a,M,n
b01_h092_03_strata_b,M,n
b01_h092_03_strata_c,M,n
b01_h092_03_strata_d,M,n
b01_h092_04_strata_a,M,n
b01_h092_04_strata_b,M,n
b01_h092_04_strata_c,M,n
b01_h092_04_strata_d,M,n
b01_h092_05_strata_a,M,n
b01_h092_05_strata_b,M,n
b01_h092_05_strata_c,M,n
b01_h092_05_strata_d,M,n
b01_h092_06_strata_a,M,n
b01_h092_06_strata_b,M,n
b01_h092_06_strata_c,M,n
b01_h092_06_strata_d,M,n
b01_h092_07_strata_a,M,n
b01_h092_07_strata_b,M,n
b01_h092_07_strata_c,M,n
b01_h092_07_strata_d,M,n
b01_h092_08_strata_a,M,n
b01_h092_08_strata_b,M,n
b01_h092_08_strata_c,M,n
b01_h092_08_strata_d,M,n
b01_h092_09_strata_a,M,n
b01_h092_09_strata_b,M,n
b01_h092_09_strata_c,M,n
b01_h092_09_strata_d,M,n
b01_h092_10_strata_a,M,n
b01_h092_10_strata_b,M,n
b01_h092_10_strata_c,M,n
b01_h092_10_strata_d,M,n
b01_h092_11_strata_a,M,n
b01_h092_11_strata_b,M,n
b01_h092_11_strata_c,M,n
b01_h092_11_strata_d,M,n
b01_h092_12_strata_a,M,n
b01_h092_12_strata_b,M,n
b01_h092_12_strata_c,M,n
b01_h092_12_strata_d,M,n
b01_h092_13_strata_a,M,a
b01_h092_13_strata_b,M,a
b01_h092_13_strata_c,M,a
b01_h092_14_strata_a,M,a
b01_h092_14_strata_b,M,a
b01_h092_14_strata_c,M,a
b01_h092_15_strata_a,M,a
b01_h092_15_strata_b,M,a
b01_h092_15_strata_c,M,a
b01_h092_16_strata_a,M,a
b01_h092_16_strata_b,MR,a
b01_h092_16_strata_c,M,a
b01_h092_17_strata_a,M,a
b01_h092_17_strata_b,M,a
b01_h092_17_strata_c,M,a
b01_h092_18_strata_a,M,a
b01_h092_18_strata_b,M,a
b01_h092_18_strata_c,M,a
b01_h093_01_strata_a,DE2,p
b01_h093_01_strata_b,DE2,p
b01_h093_01_strata_c,DE2,p
b01_h093_01_strata_d,DE2,p
b01_h093_02_strata_a,DE2,p
b01_h093_02_strata_b,DE2,p
b01_h093_02_strata_c,DE2,p
b01_h093_02_strata_d,DE2,p
b01_h093_03_strata_a,DE2,p
b01_h093_03_strata_b,DE2,p
b01_h093_03_strata_c,DE2,p
b01_h093_03_strata_d,DE2,p
b01_h093_04_strata_a,D,p
b01_h093_04_strata_b,D,p
b01_h093_04_strata_c,D,p
b01_h093_04_strata_d,D,p
b01_h093_05_strata_a,D,p
b01_h093_05_strata_b,D,p
b01_h093_05_strata_c,D,p
b01_h093_05_strata_d,D,p
b01_h093_06_strata_a,D,p
b01_h093_06_strata_b,D,p
b01_h093_06_strata_c,D,p
b01_h093_06_strata_d,D,p
b01_h093_07_strata_a,D,p
b01_h093_07_strata_b,D,p
b01_h093_07_strata_c,D,p
b01_h093_07_strata_d,D,p
b01_h093_08_strata_a,D,p
b01_h093_08_strata_b,D,p
b01_h093_08_strata_c,D,p
b01_h093_08_strata_d,D,p
b01_h093_09_strata_a,D,p
b01_h093_09_strata_b,D,p
b01_h093_09_strata_c,D,p
b01_h093_10_strata_a,D,p
b01_h093_10_strata_b,D,p
b01_h093_10_strata_c,D,p
b01_h093_11_strata_a,D,p
b01_h093_11_strata_b,D,p
b01_h093_11_strata_c,D,p
b01_h093_12_strata_a,D,p
b01_h093_12_strata_b,D,p
b01_h093_12_strata_c,D,p
b01_h093_12_strata_d,D,p
b01_h094_01_strata_a,M,C
b01_h094_01_strata_b,M,C
b01_h094_01_strata_c,M,C
b01_h094_01_strata_d,M,C
b01_h094_02_strata_a,M,C
b01_h094_02_strata_b,M,C
b01_h094_02_strata_c,M,C
b01_h094_02_strata_d,MR,C
b01_h094_03_strata_a,M,C
b01_h094_03_strata_b,M,C
b01_h094_03_strata_c,M,C
b01_h094_03_strata_d,MR,C
b01_h094_04_strata_a,M,C
b01_h094_04_strata_b,M,C
b01_h094_04_strata_c,M,C
b01_h094_04_strata_d,MR,C
b01_h094_05_strata_a,M,C
b01_h094_05_strata_b,M,C
b01_h094_05_strata_c,M,C
b01_h094_05_strata_d,MR,C
b01_h094_06_strata_a,M,C
b01_h094_06_strata_b,M,C
b01_h094_06_strata_c,M,C
b01_h094_06_strata_d,MR,C
b01_h094_07_strata_a,M,C
b01_h094_07_strata_b,M,C
b01_h094_07_strata_c,M,C
b01_h094_07_strata_d,MR,C
b01_h094_08_strata_a,M,C
b01_h094_08_strata_b,M,C
b01_h094_08_strata_c,M,C
b01_h094_08_strata_d,MR,C
b01_h094_09_strata_a,M,C
b01_h094_09_strata_b,M,C
b01_h094_09_strata_c,M,C
b01_h094_09_strata_d,MR,C
b01_h094_10_strata_a,M,C
b01_h094_10_strata_b,M,C
b01_h094_10_strata_c,M,C
b01_h094_10_strata_d,MR,C
b01_h094_11_strata_a,M,C
b01_h094_11_strata_b,M,C
b01_h094_11_strata_c,M,C
b01_h094_11_strata_d,MR,C
b01_h094_12_strata_a,M,C
b01_h094_12_strata_b,M,C
b01_h094_12_strata_c,M,C
b01_h094_12_strata_d,MR,C
b01_h094_13_strata_a,M,C
b01_h094_13_strata_b,M,C
b01_h094_13_strata_c,M,C
b01_h094_13_strata_d,MR,C
b01_h094_14_strata_a,M,C
b01_h094_14_strata_b,M,C
b01_h094_14_strata_c,M,C
b01_h094_14_strata_d,MR,C
b01_h094_15_strata_a,M,C
b01_h094_15_strata_b,M,C
b01_h094_15_strata_c,M,C
b01_h094_15_strata_d,M,C
b01_h094_16_strata_a,M,C
b01_h094_16_strata_b,M,C
b01_h094_16_strata_c,M,C
b01_h094_16_strata_d,M,C
b01_h095_01_strata_a,M,C
b01_h095_01_strata_b,M,C
b01_h095_01_strata_c,M,C
b01_h095_01_strata_d,M,C
b01_h095_02_strata_a,M,C
b01_h095_02_strata_b,M,C
b01_h095_02_strata_c,M,C
b01_h095_02_strata_d,M,C
b01_h095_03_strata_a,M,C
b01_h095_03_strata_b,M,C
b01_h095_03_strata_c,M,C
b01_h095_03_strata_d,M,C
b01_h095_04_strata_a,M,C
b01_h095_04_strata_b,M,C
b01_h095_04_strata_c,M,C
b01_h095_04_strata_d,M,C
b01_h095_05_strata_a,M,C
b01_h095_05_strata_b,M,C
b01_h095_05_strata_c,M,C
b01_h095_05_strata_d,M,C
b01_h095_06_strata_a,M,C
b01_h095_06_strata_b,M,C
b01_h095_06_strata_c,M,C
b01_h095_06_strata_d,M,C
b01_h095_07_strata_a,M,C
b01_h095_07_strata_b,M,C
b01_h095_07_strata_c,M,C
b01_h095_07_strata_d,M,C
b01_h095_08_strata_a,M,C
b01_h095_08_strata_b,M,C
b01_h095_08_strata_c,M,C
b01_h095_08_strata_d,M,C
b01_h095_09_strata_a,M,C
b01_h095_09_strata_b,M,C
b01_h095_09_strata_c,M,C
b01_h095_09_strata_d,M,C
b01_h095_10_strata_a,M,C
b01_h095_10_strata_b,M,C
b01_h095_10_strata_c,M,C
b01_h095_10_strata_d,M,C
b01_h095_11_strata_a,M,C
b01_h095_11_strata_b,M,C
b01_h095_11_strata_c,MR,C
b01_h095_11_strata_d,MR,C
b01_h096_01_strata_a,M,C
b01_h096_01_strata_b,M,C
b01_h096_01_strata_c,M,C
b01_h096_01_strata_d,M,C
b01_h096_02_strata_a,M,C
b01_h096_02_strata_b,M,C
b01_h096_02_strata_c,M,C
b01_h096_02_strata_d,MR,C
b01_h096_03_strata_a,M,C
b01_h096_03_strata_b,M,C
b01_h096_03_strata_c,M,C
b01_h096_03_strata_d,MR,C
b01_h096_04_strata_a,M,C
b01_h096_04_strata_b,M,C
b01_h096_04_strata_c,M,C
b01_h096_04_strata_d,MR,C
b01_h096_05_strata_a,M,C
b01_h096_05_strata_b,M,C
b01_h096_05_strata_c,M,C
b01_h096_05_strata_d,MR,C
b01_h096_06_strata_a,M,C
b01_h096_06_strata_b,M,C
b01_h096_06_strata_c,M,C
b01_h096_06_strata_d,MR,C
b01_h096_07_strata_a,M,C
b01_h096_07_strata_b,M,C
b01_h096_07_strata_c,M,C
b01_h096_07_strata_d,MR,C
b01_h096_08_strata_a,M,C
b01_h096_08_strata_b,M,C
b01_h096_08_strata_c,M,C
b01_h096_08_strata_d,M,C
b01_h096_09_strata_a,MR,C
b01_h096_09_strata_b,MR,C
b01_h096_09_strata_c,MR,C
b01_h096_09_strata_d,MR,C
b01_h097_01_strata_a,P,P
b01_h097_01_strata_b,P,P
b01_h097_01_strata_c,PR,P
b01_h097_02_strata_a,P,P
b01_h097_02_strata_b,P,P
b01_h097_02_strata_c,PR,P
b01_h097_03_strata_a,P,P
b01_h097_03_strata_b,P,P
b01_h097_03_strata_c,PR,P
b01_h097_04_strata_a,P,P
b01_h097_04_strata_b,P,P
b01_h097_04_strata_c,PR,P
b01_h097_05_strata_a,P,P
b01_h097_05_strata_b,P,P
b01_h097_05_strata_c,PR,P
b01_h097_06_strata_a,P,P
b01_h097_06_strata_b,PR,P
b01_h097_06_strata_c,PR,P
b01_h097_07_strata_a,P,P
b01_h097_07_strata_b,P,P
b01_h097_07_strata_c,PR,P
b01_h097_08_strata_a,P,P
b01_h097_08_strata_b,P,P
b01_h097_08_strata_c,PR,P
b01_h098_01_strata_a,M,C
b01_h098_01_strata_b,M,C
b01_h098_01_strata_c,M,C
b01_h098_01_strata_d,M,C
b01_h098_02_strata_a,M,C
b01_h098_02_strata_b,M,C
b01_h098_02_strata_c,M,C
b01_h098_02_strata_d,M,C
b01_h098_03_strata_a,M,C
b01_h098_03_strata_b,M,C
b01_h098_03_strata_c,MR,C
b01_h098_03_strata_d,MR,C
b01_h099_01_strata_a,M,C
b01_h099_01_strata_b,M,C
b01_h099_01_strata_c,M,C
b01_h099_01_strata_d,M,C
b01_h100_01_strata_a,M,C
b01_h100_01_strata_b,M,C
b01_h100_01_strata_c,M,C
b01_h100_01_strata_d,M,C
b01_h100_02_strata_a,M,C
b01_h100_02_strata_b,M,C
b01_h100_02_strata_c,M,C
b01_h100_02_strata_d,MR,C
b01_h100_03_strata_a,M,C
b01_h100_03_strata_b,M,C
b01_h100_03_strata_c,M,C
b01_h100_03_strata_d,MR,C
b01_h100_04_strata_a,M,C
b01_h100_04_strata_b,M,C
