id,label,strata
b01_h105_09_strata_c,M,C
b01_h105_09_strata_d,M,C
b01_h105_09_strata_e,MR,C
b01_h105_10_strata_a,M,C
b01_h105_10_strata_b,M,C
b01_h105_10_strata_c,M,C
b01_h105_10_strata_d,M,C
b01_h105_10_strata_e,MR,C
b01_h105_11_strata_a,M,C
b01_h105_11_strata_b,M,C
b01_h105_11_strata_c,M,C
b01_h105_11_strata_d,M,C
b01_h105_11_strata_e,MR,C
b01_h105_12_strata_a,M,C
b01_h105_12_strata_b,M,C
b01_h105_12_strata_c,M,C
b01_h105_12_strata_d,M,C
b01_h105_12_strata_e,MR,C
b01_h105_13_strata_a,M,C
