,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
69436,Q003876.1.1,ana[to]PRP,[a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,Q003876,1,1
69437,Q003876.1.2,Nabu[1]DN,{d}MUATI,Nabu,Nabu,1,DN,"['𒀭', '𒉺']",𒀭𒉺,{[d]}[MUATI],"['missing', 'missing']",1.0,DN,Q003876,1,2
69438,Q003876.1.3,bēl[lord]N,EN,bēl,bēlu,lord,N,['𒂗'],𒂗,[EN],['missing'],1.0,,Q003876,1,3
69439,Q003876.1.4,nikiltu[skill//cleverness]N'N$niklāti,nik-la-a]-⸢ti⸣,niklāti,nikiltu,cleverness,N,"['𒊩𒌨', '𒆷', '𒀀', '𒋾']",𒊩𒌨𒆷𒀀𒋾,[nik-la-a]-⸢ti⸣,"['missing', 'missing', 'missing', 'damaged']",0.88,,Q003876,1,4
69440,Q003876.1.5,šitrāhu[very proud one]N$šitrāhi,šit-ra-hi,šitrāhi,šitrāhu,very proud one,N,"['𒋃', '𒊏', '𒄭']",𒋃𒊏𒄭,šit-ra-hi,"['complete', 'complete', 'complete']",0.0,,Q003876,1,5
69441,Q003876.1.6,mār[son]N,⸢DUMU,mār,māru,son,N,['𒌉'],𒌉,⸢DUMU⸣,['damaged'],0.5,,Q003876,1,6
69442,Q003876.1.7,rubû[ruler]N$rubê,NUN⸣,rubê,rubû,ruler,N,['𒉣'],𒉣,⸢NUN⸣,['damaged'],0.5,,Q003876,1,7
69443,Q003876.1.8,muttellu[princely one]N$muttalli,mut-[tal-li],muttalli,muttellu,princely one,N,"['𒄷𒄭', '𒊑', '𒇷']",𒄷𒄭𒊑𒇷,mut-[tal-li],"['complete', 'missing', 'missing']",0.67,,Q003876,1,8
69444,Q003876.2.1,sāniqu[controller]N$sāniq,[sa-ni]-⸢iq,sāniq,sāniqu,controller,N,"['𒊓', '𒉌', '𒅅']",𒊓𒉌𒅅,[sa-ni]-⸢iq⸣,"['missing', 'missing', 'damaged']",0.83,,Q003876,2,1
69445,Q003876.2.2,Igigi[1]DN,{d}i₂-gi₃-gi₃⸣,Igigi,Igigi,1,DN,"['𒀭', '𒐊', '𒁹', '𒁹']",𒀭𒐊𒁹𒁹,{⸢d⸣}⸢i₂-gi₃-gi₃⸣,"['damaged', 'damaged', 'damaged', 'damaged']",0.5,DN,Q003876,2,2
69446,Q003876.2.3,Anunnaki[1]DN,{d}GEŠ₂.U,Anunnaki,Anunnaku,1,DN,"['𒀭', '𒐕', '𒌋']",𒀭𒐕𒌋,{d}GEŠ₂.U,"['complete', 'complete', 'complete']",0.0,DN,Q003876,2,3
69447,Q003876.2.4,āširu[inspector]N$āšir,a-ši-ir,āšir,āširu,inspector,N,"['𒀀', '𒅆', '𒅕']",𒀀𒅆𒅕,a-ši-ir,"['complete', 'complete', 'complete']",0.0,,Q003876,2,4
69448,Q003876.2.5,kal[all]N,DU₃,kal,kalû,all,N,['𒆕'],𒆕,DU₃,['complete'],0.0,,Q003876,2,5
