,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
48779,Q007581.3.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007581,3,1
48780,Q007581.3.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007581,3,2
48781,Q007581.3.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007581,3,3
48782,Q007581.4.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q007581,4,1
48783,Q007581.4.2,Tammaritu[king of Elam]RN,{m}tam-ma]-⸢ri-tu₂⸣,Tammaritu,Tammaritu,king of Elam,RN,"['𒁹', '𒌓', '𒈠', '𒊑', '𒌓']",𒁹𒌓𒈠𒊑𒌓,{[m]}[tam-ma]-⸢ri-tu₂⸣,"['missing', 'missing', 'missing', 'damaged', 'damaged']",0.8,RN,Q007581,4,2
48784,Q007581.4.3,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,Q007581,4,3
48785,Q007581.4.4,Elamti[Elam]GN,{kur}ELAM.MA{⸢ki⸣},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{KUR}ELAM.MA{⸢KI⸣},"['complete', 'complete', 'complete', 'damaged']",0.12,GN,Q007581,4,4
48786,Q007581.5.1,tamšīl[replica]N,[tam-šil,tamšīl,tamšīlu,replica,N,"['𒌓', '𒋻']",𒌓𒋻,[tam-šil],"['missing', 'missing']",1.0,,Q007581,5,1
48787,Q007581.5.2,gallê[(a demon)]N,GAL₅.LA₂.MEŠ,gallê,gallû,(a demon),N,"['𒋼', '𒇲', '𒎌']",𒋼𒇲𒎌,[GAL₅].[LA₂].[MEŠ],"['missing', 'missing', 'missing']",1.0,,Q007581,5,2
48788,Q007581.5.3,lā[not]MOD,la,lā,lā,not,MOD,['𒆷'],𒆷,[la],['missing'],1.0,,Q007581,5,3
48789,Q007581.5.4,išʾal[ask]V,iš-al,išʾal,šâlu,ask,V,"['𒅖', '𒀠']",𒅖𒀠,[iš-al],"['missing', 'missing']",1.0,,Q007581,5,4
48790,Q007581.5.5,šulum[well-being]N,šu-lum],šulum,šulmu,well-being,N,"['𒋗', '𒈝']",𒋗𒈝,[šu-lum],"['missing', 'missing']",1.0,,Q007581,5,5
48791,Q007581.5.6,bēlūti[lordship]N,EN-u-ti,bēlūti,bēlūtu,lordship,N,"['𒂗', '𒌋', '𒋾']",𒂗𒌋𒋾,EN-u-ti,"['complete', 'complete', 'complete']",0.0,,Q007581,5,6
48792,Q007581.6.1,ana[to]PRP,[a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,Q007581,6,1
48793,Q007581.6.2,kitri[help]N,kit-ri,kitri,kitru,help,N,"['𒆤', '𒊑']",𒆤𒊑,[kit-ri],"['missing', 'missing']",1.0,,Q007581,6,2
48794,Q007581.6.3,Šamaš-šuma-ukin[king of Babylon]RN,{m}{d}GIŠ.NU₁₁]-⸢MU⸣-GI.NA,Šamaš-šuma-ukin,Šamaš-šuma-ukin,king of Babylon,RN,"['𒁹', '𒀭', '𒄑', '𒉢', '𒈬', '𒄀', '𒈾']",𒁹𒀭𒄑𒉢𒈬𒄀𒈾,{[m]}{[d]}[GIŠ].[NU₁₁]-⸢MU⸣-GI.NA,"['missing', 'missing', 'missing', 'missing', 'damaged', 'complete', 'complete']",0.64,RN,Q007581,6,3
48795,Q007581.6.4,ahi[brother]N,ŠEŠ,ahi,ahu,brother,N,['𒋀'],𒋀,ŠEŠ,['complete'],0.0,,Q007581,6,4
48796,Q007581.6.5,nakri[hostile]AJ,nak-ri,nakri,nakru,hostile,AJ,"['𒅘', '𒊑']",𒅘𒊑,nak-ri,"['complete', 'complete']",0.0,,Q007581,6,5
