,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
72919,Q003719.3.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q003719,3,1
72920,Q003719.3.2,epēšu[do]V'V$ēpušuš,e-pu]-⸢šu⸣-uš,ēpušuš,epēšu,do,V,"['𒂊', '𒁍', '𒋗', '𒍑']",𒂊𒁍𒋗𒍑,[e-pu]-⸢šu⸣-uš,"['missing', 'missing', 'damaged', 'complete']",0.62,,Q003719,3,2
72921,Q003719.4.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q003719,4,1
72922,Q003719.4.2,lemuttu[evil]N,MUNUS].⸢HUL⸣,lemuttu,lemuttu,evil,N,"['𒊩', '𒅆𒌨']",𒊩𒅆𒌨,[MUNUS].⸢HUL⸣,"['missing', 'damaged']",0.75,,Q003719,4,2
72923,Q003719.5.1,u,[...]-mu,,,,u,"['x', '𒈬']",x𒈬,[x]mu,"['missing', 'complete']",0.5,,Q003719,5,1
72924,Q003719.6.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,6,1
72925,Q003719.6.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003719,6,2
72926,Q003719.6.3,u,ŠA₂,,,,u,['𒃻'],𒃻,ŠA₂,['complete'],0.0,,Q003719,6,3
72927,Q003719.7.1,u,[...]-⸢u₂⸣-ti,,,,u,"['x', '𒌑', '𒋾']",x𒌑𒋾,[x]⸢u₂⸣-ti,"['missing', 'damaged', 'complete']",0.5,,Q003719,7,1
72928,Q003719.8.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,8,1
72929,Q003719.8.2,u,x-ti,,,,u,"['x', '𒋾']",x𒋾,x-ti,"['complete', 'complete']",0.0,,Q003719,8,2
72930,Q003719.9.1,u,[...]-⸢ti⸣-ia,,,,u,"['x', '𒋾', '𒅀']",x𒋾𒅀,[x]⸢ti⸣-ia,"['missing', 'damaged', 'complete']",0.5,,Q003719,9,1
72931,Q003719.10.1,u,[...]-⸢pal⸣-su-ma,,,,u,"['x', '𒁄', '𒋢', '𒈠']",x𒁄𒋢𒈠,[x]⸢pal⸣-su-ma,"['missing', 'damaged', 'complete', 'complete']",0.38,,Q003719,10,1
72932,Q003719.11.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,11,1
72933,Q003719.11.2,u,x-ZA,,,,u,"['x', '𒍝']",x𒍝,x-ZA,"['complete', 'complete']",0.0,,Q003719,11,2
72934,Q003719.12.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,12,1
72935,Q003719.12.2,u,x-šu,,,,u,"['x', '𒋗']",x𒋗,x-šu,"['complete', 'complete']",0.0,,Q003719,12,2
72936,Q003719.13.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q003719,13,1
72937,Q003719.13.2,Aramu[Aramean]EN$Aramu,a]-⸢ra⸣-mu,Aramu,Aramu,Aramean,EN,"['𒀀', '𒊏', '𒈬']",𒀀𒊏𒈬,[a]-⸢ra⸣-mu,"['missing', 'damaged', 'complete']",0.5,,Q003719,13,2
72938,Q003719.14.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,14,1
72939,Q003719.14.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003719,14,2
72940,Q003719.15.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,15,1
72941,Q003719.15.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003719,15,2
72942,Q003719.19.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,19,1
72943,Q003719.19.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,19,2
72944,Q003719.20.1,ṣalam[image]N,[ALAM],ṣalam,ṣalmu,image,N,['𒀩'],𒀩,[ALAM],['missing'],1.0,,Q003719,20,1
72945,Q003719.20.2,"Hallušu[Hallušu-Inšušinak I, king of Elam]RN$Hallusi",{⸢m⸣}ha-lu-si,Hallusi,Hallušu,"Hallušu-Inšušinak I, king of Elam",RN,"['𒁹', '𒄩', '𒇻', '𒋛']",𒁹𒄩𒇻𒋛,{⸢m⸣}ha-lu-si,"['damaged', 'complete', 'complete', 'complete']",0.12,RN,Q003719,20,2
72946,Q003719.20.3,munarriṭu[one who makes something tremble]N$munarriṭ,mu-nar-[riṭ,munarriṭ,munarriṭu,one who makes something tremble,N,"['𒈬', '𒈜', '𒈩']",𒈬𒈜𒈩,mu-nar-[riṭ],"['complete', 'complete', 'missing']",0.33,,Q003719,20,3
72947,Q003719.20.4,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,20,4
72948,Q003719.21.1,adi[with]PRP,a-di,adi,adi,with,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,,Q003719,21,1
72949,Q003719.21.2,ṣalmī[image]N,ALAM.MEŠ,ṣalmī,ṣalmu,image,N,"['𒀩', '𒎌']",𒀩𒎌,ALAM.MEŠ,"['complete', 'complete']",0.0,,Q003719,21,2
72950,Q003719.21.3,šarrāni[king]N,LUGAL.MEŠ,šarrāni,šarru,king,N,"['𒈗', '𒎌']",𒈗𒎌,LUGAL.MEŠ,"['complete', 'complete']",0.0,,Q003719,21,3
72951,Q003719.21.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003719,21,4
72952,Q003719.22.1,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003719,22,1
72953,Q003719.22.2,ēpušū[exercise]V,e-pu-šu₂,ēpušū,epēšu,exercise,V,"['𒂊', '𒁍', '𒋙']",𒂊𒁍𒋙,e-pu-šu₂,"['complete', 'complete', 'complete']",0.0,,Q003719,22,2
72954,Q003719.22.3,bēlūt[lordship]N,be-lut,bēlūt,bēlūtu,lordship,N,"['𒁁', '𒂁']",𒁁𒂁,be-lut,"['complete', 'complete']",0.0,,Q003719,22,3
72955,Q003719.22.4,Elamti[Elam]GN,{kur}⸢ELAM⸣.[MA{ki]},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{KUR}⸢ELAM⸣.[MA]{[KI]},"['complete', 'damaged', 'missing', 'missing']",0.62,GN,Q003719,22,4
72956,Q003719.23.1,itti[with]PRP,it-ti,itti,itti,with,PRP,"['𒀉', '𒋾']",𒀉𒋾,it-ti,"['complete', 'complete']",0.0,,Q003719,23,1
72957,Q003719.23.2,šallatu[plundered thing(s)//booty]N'N$šallatišunu,šal-la-ti-šu₂-nu,šallatišunu,šallatu,booty,N,"['𒊩', '𒆷', '𒋾', '𒋙', '𒉡']",𒊩𒆷𒋾𒋙𒉡,šal-la-ti-šu₂-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,Q003719,23,2
72958,Q003719.23.3,kabitti[valuable]AJ,ka-⸢bit⸣-[ti],kabitti,kabtu,valuable,AJ,"['𒅗', '𒂍', '𒋾']",𒅗𒂍𒋾,ka-⸢bit⸣-[ti],"['complete', 'damaged', 'missing']",0.5,,Q003719,23,3
72959,Q003719.24.1,ana[for]PRP,a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q003719,24,1
72960,Q003719.24.2,tāmarti[spectacle]N,ta-mar-ti,tāmarti,tāmartu,spectacle,N,"['𒋫', '𒈥', '𒋾']",𒋫𒈥𒋾,ta-mar-ti,"['complete', 'complete', 'complete']",0.0,,Q003719,24,2
72961,Q003719.24.3,nišī[people]N,UN.MEŠ,nišī,nišu,people,N,"['𒌦', '𒎌']",𒌦𒎌,UN.MEŠ,"['complete', 'complete']",0.0,,Q003719,24,3
72962,Q003719.24.4,warkû[rear//later]AJ'AJ$arkûti,EGIR.[MEŠ],arkûti,warkû,later,AJ,"['𒂕', '𒎌']",𒂕𒎌,EGIR.[MEŠ],"['complete', 'missing']",0.5,,Q003719,24,4
72963,Q003719.25.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003719,25,1
72964,Q003719.25.2,Ninua[Nineveh]SN,NINA{ki},Ninua,Ninua,Nineveh,SN,"['𒀏', '𒆠']",𒀏𒆠,NINA{KI},"['complete', 'complete']",0.0,,Q003719,25,2
72965,Q003719.25.3,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003719,25,3
72966,Q003719.25.4,bāb[gate]N,KA₂,bāb,bābu,gate,N,['𒆍'],𒆍,KA₂,['complete'],0.0,,Q003719,25,4
72967,Q003719.25.5,ēkalliya[palace]N,E₂.GAL-ia,ēkalliya,ēkallu,palace,N,"['𒂍', '𒃲', '𒅀']",𒂍𒃲𒅀,E₂.GAL-ia,"['complete', 'complete', 'complete']",0.0,,Q003719,25,5
72968,Q003719.25.6,ulziz[erect]V,[ul-ziz],ulziz,izuzzu,erect,V,"['𒌌', '𒁁']",𒌌𒁁,[ul-ziz],"['missing', 'missing']",1.0,,Q003719,25,6
72969,Q003719.26.1,kimahhu[grave]N$kimahhī,ki-mah-hi,kimahhī,kimahhu,grave,N,"['𒆠', '𒈤', '𒄭']",𒆠𒈤𒄭,ki-mah-hi,"['complete', 'complete', 'complete']",0.0,,Q003719,26,1
72970,Q003719.26.2,šarrāni[king]N,LUGAL.MEŠ,šarrāni,šarru,king,N,"['𒈗', '𒎌']",𒈗𒎌,LUGAL.MEŠ,"['complete', 'complete']",0.0,,Q003719,26,2
72971,Q003719.26.3,abu[father//ancestor]N'N$abbīšunu,AD.MEŠ-šu₂-nu,abbīšunu,abu,ancestor,N,"['𒀜', '𒎌', '𒋙', '𒉡']",𒀜𒎌𒋙𒉡,AD.MEŠ-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003719,26,3
72972,Q003719.26.4,appul[demolish]V,ap-pul,appul,napālu,demolish,V,"['𒀊', '𒇧']",𒀊𒇧,ap-pul,"['complete', 'complete']",0.0,,Q003719,26,4
72973,Q003719.26.5,aqqur[demolish]V,[aq-qur],aqqur,naqāru,demolish,V,"['𒀝', '𒄥']",𒀝𒄥,[aq-qur],"['missing', 'missing']",1.0,,Q003719,26,5
72974,Q003719.27.1,eṣemtu[bone]N$eṣmētišunu,GIR₃.PAD.DU.MEŠ-šu₂-nu,eṣmētišunu,eṣemtu,bone,N,"['𒄊', '𒉻', '𒁺', '𒎌', '𒋙', '𒉡']",𒄊𒉻𒁺𒎌𒋙𒉡,GIR₃.PAD.DU.MEŠ-šu₂-nu,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,Q003719,27,1
72975,Q003719.27.2,alqâ[take]V,al-qa-a,alqâ,leqû,take,V,"['𒀠', '𒋡', '𒀀']",𒀠𒋡𒀀,al-qa-a,"['complete', 'complete', 'complete']",0.0,,Q003719,27,2
72976,Q003719.27.3,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q003719,27,3
72977,Q003719.27.4,māt[land]N,KUR,māt,mātu,land,N,['𒆳'],𒆳,KUR,['complete'],0.0,,Q003719,27,4
72978,Q003719.27.5,Aššur[Assyria]GN,[AN.ŠAR₂{ki]},Aššur,Aššur,Assyria,GN,"['𒀭', '𒊹', '𒆠']",𒀭𒊹𒆠,[AN].[ŠAR₂]{[KI]},"['missing', 'missing', 'missing']",1.0,GN,Q003719,27,5
72979,Q003719.28.1,Nanaya[1]DN,{d}na-na-a,Nanaya,Nanaya,1,DN,"['𒀭', '𒈾', '𒈾', '𒀀']",𒀭𒈾𒈾𒀀,{d}na-na-a,"['complete', 'complete', 'complete', 'complete']",0.0,DN,Q003719,28,1
72980,Q003719.28.2,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003719,28,2
72981,Q003719.28.3,ultu[from]PRP,ul-tu,ultu,ištu,from,PRP,"['𒌌', '𒌅']",𒌌𒌅,ul-tu,"['complete', 'complete']",0.0,,Q003719,28,3
72982,Q003719.28.4,n,GEŠ₂.U,,,,n,"['𒐕', '𒌋']",𒐕𒌋,GEŠ₂.U,"['complete', 'complete']",0.0,NUMBER,Q003719,28,4
72983,Q003719.28.5,n,GEŠ₂.U,,,,n,"['𒐕', '𒌋']",𒐕𒌋,GEŠ₂.U,"['complete', 'complete']",0.0,NUMBER,Q003719,28,5
72984,Q003719.28.6,n,7,,,,n,['𒐌'],𒐌,7,['complete'],0.0,NUMBER,Q003719,28,6
