,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
11511,Q003794.3.1,arkānu[later]AV,EGIR-nu,arkānu,warkānu,later,AV,"['𒂕', '𒉡']",𒂕𒉡,EGIR-nu,"['complete', 'complete']",0.0,,Q003794,3,1
11512,Q003794.3.2,x,il-[...],,,,,"['𒅋', 'x']",𒅋x,il-[x],"['complete', 'missing']",0.5,,Q003794,3,2
11513,Q003794.4.1,ša[who]REL,ša,ša,ša,who,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q003794,4,1
11514,Q003794.4.2,ṭābtī[goodness]N,⸢MUN,ṭābtī,ṭābtu,goodness,N,['𒁵'],𒁵,⸢MUN⸣,['damaged'],0.5,,Q003794,4,2
11515,Q003794.4.3,imšûma[forget]V,im⸣-šu-[ma,imšûma,mašû,forget,V,"['𒅎', '𒋗', '𒈠']",𒅎𒋗𒈠,⸢im⸣-šu-[ma],"['damaged', 'complete', 'missing']",0.5,,Q003794,4,3
11516,Q003794.4.4,x,...],,,,,['x'],x,[x],['missing'],1.0,,Q003794,4,4
11517,Q003794.5.1,Tammaritu[king of Elam]RN,{m}tam-ma-⸢ri⸣-tu₂,Tammaritu,Tammaritu,king of Elam,RN,"['𒁹', '𒌓', '𒈠', '𒊑', '𒌓']",𒁹𒌓𒈠𒊑𒌓,{m}tam-ma-⸢ri⸣-tu₂,"['complete', 'complete', 'complete', 'damaged', 'complete']",0.1,RN,Q003794,5,1
11518,Q003794.5.2,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003794,5,2
11519,Q003794.5.3,arki[after]PRP,⸢EGIR⸣,arki,warki,after,PRP,['𒂕'],𒂕,⸢EGIR⸣,['damaged'],0.5,,Q003794,5,3
11520,Q003794.5.4,"Ummanigaš[Humban-nikas II, king of Elam]RN",{[m}um-man-i-gaš,Ummanigaš,Ummanigaš,"Humban-nikas II, king of Elam",RN,"['𒁹', '𒌝', '𒎙', '𒄿', '𒁉']",𒁹𒌝𒎙𒄿𒁉,{[m]}[um-man-i-gaš],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,RN,Q003794,5,4
11521,Q003794.5.5,ūšibu[sit]V,u₂-ši-bu],ūšibu,wašābu,sit,V,"['𒌑', '𒅆', '𒁍']",𒌑𒅆𒁍,[u₂-ši-bu],"['missing', 'missing', 'missing']",1.0,,Q003794,5,5
11522,Q003794.6.1,ina[on]PRP,ina,ina,ina,on,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003794,6,1
11523,Q003794.6.2,kussî[throne]N,{⸢giš⸣}GU.ZA,kussî,kussû,throne,N,"['𒄑', '𒄖', '𒍝']",𒄑𒄖𒍝,{⸢GIŠ⸣}GU.ZA,"['damaged', 'complete', 'complete']",0.17,,Q003794,6,2
11524,Q003794.6.3,Elamti[Elam]GN,{kur}ELAM.⸢MA⸣{ki},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{KUR}ELAM.⸢MA⸣{KI},"['complete', 'complete', 'damaged', 'complete']",0.12,GN,Q003794,6,3
11525,Q003794.6.4,x,x,,,,,['x'],x,x,['complete'],0.0,,Q003794,6,4
11526,Q003794.6.5,x,[...],,,,,['x'],x,[x],['missing'],1.0,,Q003794,6,5
11527,Q003794.7.1,ikkisma[cut down]V,KUD-is-ma,ikkisma,nakāsu,cut down,V,"['𒋻', '𒄑', '𒈠']",𒋻𒄑𒈠,KUD-is-ma,"['complete', 'complete', 'complete']",0.0,,Q003794,7,1
11528,Q003794.7.2,u,id-da-[...],,,,u,"['𒀉', '𒁕', 'x']",𒀉𒁕x,id-da-[x],"['complete', 'complete', 'missing']",0.33,,Q003794,7,2
11529,Q003794.8.1,Tammaritu[king of Elam]RN,{m}tam-ma-ri-tu₂,Tammaritu,Tammaritu,king of Elam,RN,"['𒁹', '𒌓', '𒈠', '𒊑', '𒌓']",𒁹𒌓𒈠𒊑𒌓,{m}tam-ma-ri-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,RN,Q003794,8,1
11530,Q003794.8.2,ša[who]REL,ša,ša,ša,who,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q003794,8,2
11531,Q003794.8.3,arki[after]PRP,EGIR,arki,warki,after,PRP,['𒂕'],𒂕,EGIR,['complete'],0.0,,Q003794,8,3
11532,Q003794.8.4,"Ummanigaš[Humban-nikas II, king of Elam]RN",{[m}um-man-i-gaš,Ummanigaš,Ummanigaš,"Humban-nikas II, king of Elam",RN,"['𒁹', '𒌝', '𒎙', '𒄿', '𒁉']",𒁹𒌝𒎙𒄿𒁉,{[m]}[um-man-i-gaš],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,RN,Q003794,8,4
11533,Q003794.8.5,ūšibu[sit]V,u₂-ši-bu,ūšibu,wašābu,sit,V,"['𒌑', '𒅆', '𒁍']",𒌑𒅆𒁍,[u₂-ši-bu],"['missing', 'missing', 'missing']",1.0,,Q003794,8,5
11534,Q003794.8.6,ina[on]PRP,ina,ina,ina,on,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003794,8,6
11535,Q003794.8.7,kussî[throne]N,{giš}GU.ZA],kussî,kussû,throne,N,"['𒄑', '𒄖', '𒍝']",𒄑𒄖𒍝,{[GIŠ]}[GU].[ZA],"['missing', 'missing', 'missing']",1.0,,Q003794,8,7
11536,Q003794.9.1,Elamti[Elam]GN,{kur}e-lam-ti,Elamti,Elamtu,Elam,GN,"['𒆳', '𒂊', '𒇴', '𒋾']",𒆳𒂊𒇴𒋾,{KUR}e-lam-ti,"['complete', 'complete', 'complete', 'complete']",0.0,GN,Q003794,9,1
11537,Q003794.9.2,lā[not]MOD,la,lā,lā,not,MOD,['𒆷'],𒆷,la,['complete'],0.0,,Q003794,9,2
11538,Q003794.9.3,išʾalu[ask]V,iš-[a-lu,išʾalu,šâlu,ask,V,"['𒅖', '𒀀', '𒇻']",𒅖𒀀𒇻,iš-[a-lu],"['complete', 'missing', 'missing']",0.67,,Q003794,9,3
11539,Q003794.9.4,šulum[well-being]N,šu-lum,šulum,šulmu,well-being,N,"['𒋗', '𒈝']",𒋗𒈝,[šu-lum],"['missing', 'missing']",1.0,,Q003794,9,4
11540,Q003794.9.5,šarrūtiya[kingship]N,LUGAL-ti-ia],šarrūtiya,šarrūtu,kingship,N,"['𒈗', '𒋾', '𒅀']",𒈗𒋾𒅀,[LUGAL-ti-ia],"['missing', 'missing', 'missing']",1.0,,Q003794,9,5
11541,Q003794.10.1,ana[for]PRP,a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q003794,10,1
11542,Q003794.10.2,rēṣūti[assistance]N,re-ṣu-u-ti,rēṣūti,rēṣūtu,assistance,N,"['𒊑', '𒍮', '𒌋', '𒋾']",𒊑𒍮𒌋𒋾,re-ṣu-u-ti,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003794,10,2
11543,Q003794.10.3,Šamaš-šuma-ukin[king of Babylon]RN,{m}{d}⸢GIŠ⸣.[NU₁₁-MU-GI.NA,Šamaš-šuma-ukin,Šamaš-šuma-ukin,king of Babylon,RN,"['𒁹', '𒀭', '𒄑', '𒉢', '𒈬', '𒄀', '𒈾']",𒁹𒀭𒄑𒉢𒈬𒄀𒈾,{m}{d}⸢GIŠ⸣.[NU₁₁-MU-GI].[NA],"['complete', 'complete', 'damaged', 'missing', 'missing', 'missing', 'missing']",0.64,RN,Q003794,10,3
11544,Q003794.10.4,ahi[brother]N,ŠEŠ,ahi,ahu,brother,N,['𒋀'],𒋀,[ŠEŠ],['missing'],1.0,,Q003794,10,4
11545,Q003794.10.5,nakri[hostile]AJ,nak-ri],nakri,nakru,hostile,AJ,"['𒅘', '𒊑']",𒅘𒊑,[nak-ri],"['missing', 'missing']",1.0,,Q003794,10,5
11546,Q003794.11.1,illikamma[go]V,il-lik-am-ma,illikamma,alāku,go,V,"['𒅋', '𒌨', '𒄠', '𒈠']",𒅋𒌨𒄠𒈠,il-lik-am-ma,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003794,11,1
11547,Q003794.11.2,ana[for]PRP,a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q003794,11,2
11548,Q003794.11.3,mithuṣi[fighting]'N,mit-[hu-ṣi,mithuṣi,mahāṣu,fighting,V,"['𒁁', '𒄷', '𒍢']",𒁁𒄷𒍢,mit-[hu-ṣi],"['complete', 'missing', 'missing']",0.67,,Q003794,11,3
11549,Q003794.11.4,ummānātiya[troops]N,ERIM.HI.A-ia,ummānātiya,ummānu,troops,N,"['𒂟', '𒄭', '𒀀', '𒅀']",𒂟𒄭𒀀𒅀,[ERIM].[HI].[A-ia],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003794,11,4
11550,Q003794.11.5,urriha[send speedily]V,ur-ri-ha,urriha,arāhu,send speedily,V,"['𒌨', '𒊑', '𒄩']",𒌨𒊑𒄩,[ur-ri-ha],"['missing', 'missing', 'missing']",1.0,,Q003794,11,5
11551,Q003794.11.6,kakkīšu[weapon]N,{giš}TUKUL.MEŠ-šu₂],kakkīšu,kakku,weapon,N,"['𒄑', '𒆪', '𒎌', '𒋙']",𒄑𒆪𒎌𒋙,{[GIŠ]}[TUKUL].[MEŠ-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003794,11,6
11552,Q003794.12.1,ina[through]PRP,ina,ina,ina,through,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003794,12,1
11553,Q003794.12.2,suppê[prayer]N,su-up-pe-e,suppê,supû,prayer,N,"['𒋢', '𒌒', '𒉿', '𒂊']",𒋢𒌒𒉿𒂊,su-up-pe-e,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003794,12,2
11554,Q003794.12.3,ša[that]REL,ša,ša,ša,that,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q003794,12,3
11555,Q003794.12.4,Aššur[1]DN,⸢AN⸣.[ŠAR₂,Aššur,Aššur,1,DN,"['𒀭', '𒊹']",𒀭𒊹,⸢AN⸣.[ŠAR₂],"['damaged', 'missing']",0.75,DN,Q003794,12,4
11556,Q003794.12.5,Sin[]DN,{d}30,Sin,Sin,1,DN,"['𒀭', '𒌍']",𒀭𒌍,{[d]}[30],"['missing', 'missing']",1.0,DN,Q003794,12,5
11557,Q003794.12.6,Šamaš[]DN,{d}UTU,Šamaš,Šamaš,1,DN,"['𒀭', '𒌓']",𒀭𒌓,{[d]}[UTU],"['missing', 'missing']",1.0,DN,Q003794,12,6
11558,Q003794.12.7,Adad[]DN,{d}IŠKUR,Adad,Adad,1,DN,"['𒀭', '𒅎']",𒀭𒅎,{[d]}[IŠKUR],"['missing', 'missing']",1.0,DN,Q003794,12,7
11559,Q003794.12.8,Bel[]DN,{d}EN,Bel,Bel,1,DN,"['𒀭', '𒂗']",𒀭𒂗,{[d]}[EN],"['missing', 'missing']",1.0,DN,Q003794,12,8
11560,Q003794.12.9,Nabu[]DN,{d}AG],Nabu,Nabu,1,DN,"['𒀭', '𒀝']",𒀭𒀝,{[d]}[AG],"['missing', 'missing']",1.0,DN,Q003794,12,9
11561,Q003794.13.1,Ištar[]DN,{d}15,Ištar,Ištar,1,DN,"['𒀭', '𒌋𒐊']",𒀭𒌋𒐊,{d}15,"['complete', 'complete']",0.0,DN,Q003794,13,1
11562,Q003794.13.2,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003794,13,2
11563,Q003794.13.3,Ninua[Nineveh]SN,NINA{⸢ki},Ninua,Ninua,Nineveh,SN,"['𒀏', '𒆠']",𒀏𒆠,NINA{⸢KI⸣},"['complete', 'damaged']",0.25,,Q003794,13,3
11564,Q003794.13.4,Ištar[]DN,{d}15,Ištar,Ištar,1,DN,"['𒀭', '𒌋𒐊']",𒀭𒌋𒐊,{⸢d⸣}⸢15⸣,"['damaged', 'damaged']",0.5,DN,Q003794,13,4
11565,Q003794.13.5,ša[of]DET,[ša₂,ša,ša,of,DET,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q003794,13,5
11566,Q003794.13.6,Arba-ili[Arbela]SN,{uru}LIMMU₂-DINGIR,Arba-ili,Arba-il,Arbela,SN,"['𒌷', '𒇹', '𒀭']",𒌷𒇹𒀭,{[URU]}[LIMMU₂-DINGIR],"['missing', 'missing', 'missing']",1.0,,Q003794,13,6
11567,Q003794.13.7,Ninurta[]DN,{d}MAŠ,Ninurta,Ninurta,1,DN,"['𒀭', '𒈦']",𒀭𒈦,{[d]}[MAŠ],"['missing', 'missing']",1.0,DN,Q003794,13,7
11568,Q003794.13.8,Nergal[]DN,{d}U.GUR,Nergal,Nergal,1,DN,"['𒀭', '𒌋', '𒄥']",𒀭𒌋𒄥,{[d]}[U].[GUR],"['missing', 'missing', 'missing']",1.0,DN,Q003794,13,8
11569,Q003794.13.9,Nusku[]DN,{d}nusku],Nusku,Nusku,1,DN,"['𒀭', '𒉺𒌆']",𒀭𒉺𒌆,{[d]}[nusku],"['missing', 'missing']",1.0,DN,Q003794,13,9
11570,Q003794.20.1,ša[that]REL,⸢ša,ša,ša,that,REL,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,,Q003794,20,1
11571,Q003794.20.2,šarrāni[king]N,LUGAL.MEŠ⸣,šarrāni,šarru,king,N,"['𒈗', '𒎌']",𒈗𒎌,⸢LUGAL⸣.⸢MEŠ⸣,"['damaged', 'damaged']",0.5,,Q003794,20,2
11572,Q003794.20.3,Elamti[Elam]GN,{[kur}ELAM.MA{ki},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{[KUR]}[ELAM].[MA]{[KI]},"['missing', 'missing', 'missing', 'missing']",1.0,GN,Q003794,20,3
11573,Q003794.20.4,mahrûti[former]AJ,mah-ru-u-ti],mahrûti,mahrû,former,AJ,"['𒈤', '𒊒', '𒌋', '𒋾']",𒈤𒊒𒌋𒋾,[mah-ru-u-ti],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003794,20,4
11574,Q003794.21.1,adi[until]PRP,a-di,adi,adi,until,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,,Q003794,21,1
11575,Q003794.21.2,šarrāni[king]N,⸢LUGAL.MEŠ⸣,šarrāni,šarru,king,N,"['𒈗', '𒎌']",𒈗𒎌,⸢LUGAL⸣.⸢MEŠ⸣,"['damaged', 'damaged']",0.5,,Q003794,21,2
11576,Q003794.21.3,ša[of]DET,[ša₂,ša,ša,of,DET,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q003794,21,3
11577,Q003794.21.4,adi[until]PRP,a-di,adi,adi,until,PRP,"['𒀀', '𒁲']",𒀀𒁲,[a-di],"['missing', 'missing']",1.0,,Q003794,21,4
11578,Q003794.21.5,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,,Q003794,21,5
11579,Q003794.21.6,ūme[day]N,u₄-me,ūme,ūmu,day,N,"['𒌓', '𒈨']",𒌓𒈨,[u₄-me],"['missing', 'missing']",1.0,,Q003794,21,6
11580,Q003794.21.7,annê[this]DP,an-ne₂-e],annê,annû,this,DP,"['𒀭', '𒉌', '𒂊']",𒀭𒉌𒂊,[an-ne₂-e],"['missing', 'missing', 'missing']",1.0,,Q003794,21,7
11581,Q003794.22.1,upahhirū[gather]V,u₂-pah-⸢hi-ru⸣,upahhirū,pahāru,gather,V,"['𒌑', '𒈜', '𒄭', '𒊒']",𒌑𒈜𒄭𒊒,u₂-pah-⸢hi-ru⸣,"['complete', 'complete', 'damaged', 'damaged']",0.25,,Q003794,22,1
