,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
72201,Q003754.1.1,anāku[I]IP,a-na-ku,anāku,anāku,I,IP,"['𒀀', '𒈾', '𒆪']",𒀀𒈾𒆪,a-na-ku,"['complete', 'complete', 'complete']",0.0,,Q003754,1,1
72202,Q003754.1.2,"Aššur-bani-apli[Ashurbanipal, king of Assyria]RN",{m}AN.ŠAR₂-DU₃-A,Aššur-bani-apli,Aššur-bani-apli,"Ashurbanipal, king of Assyria",RN,"['𒁹', '𒀭', '𒊹', '𒆕', '𒀀']",𒁹𒀭𒊹𒆕𒀀,{m}AN.ŠAR₂-DU₃-A,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,RN,Q003754,1,2
72203,Q003754.1.3,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,Q003754,1,3
72204,Q003754.1.4,kiššati[world]N,ŠU₂,kiššati,kiššatu,world,N,['𒋙'],𒋙,ŠU₂,['complete'],0.0,,Q003754,1,4
72205,Q003754.1.5,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,Q003754,1,5
72206,Q003754.1.6,māt[land]N,KUR,māt,mātu,land,N,['𒆳'],𒆳,KUR,['complete'],0.0,,Q003754,1,6
72207,Q003754.1.7,Aššur[Assyria]GN,AN.ŠAR₂{ki},Aššur,Aššur,Assyria,GN,"['𒀭', '𒊹', '𒆠']",𒀭𒊹𒆠,AN.ŠAR₂{KI},"['complete', 'complete', 'complete']",0.0,GN,Q003754,1,7
72208,Q003754.1.8,ina[during]PRP,ina,ina,ina,during,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003754,1,8
72209,Q003754.1.9,mēlulti[sport]N,me-lul-⸢ti⸣,mēlulti,mēlultu,sport,N,"['𒈨', '𒈜', '𒋾']",𒈨𒈜𒋾,me-lul-⸢ti⸣,"['complete', 'complete', 'damaged']",0.17,,Q003754,1,9
72210,Q003754.1.10,rubûtiya[rulership]N,[NUN-ti-ia,rubûtiya,rubûtu,rulership,N,"['𒉣', '𒋾', '𒅀']",𒉣𒋾𒅀,[NUN-ti-ia],"['missing', 'missing', 'missing']",1.0,,Q003754,1,10
72211,Q003754.1.11,nēšu[lion]N,UR.MAH],nēšu,nēšu,lion,N,"['𒌨', '𒈤']",𒌨𒈤,[UR].[MAH],"['missing', 'missing']",1.0,,Q003754,1,11
72212,Q003754.1.12,ezzu[furious]AJ,⸢ez⸣-zu,ezzu,ezzu,furious,AJ,"['𒄑', '𒍪']",𒄑𒍪,⸢ez⸣-zu,"['damaged', 'complete']",0.25,,Q003754,1,12
72213,Q003754.1.13,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003754,1,13
72214,Q003754.1.14,ṣērišu[open country]N,EDIN-šu₂,ṣērišu,ṣēru,open country,N,"['𒂔', '𒋙']",𒂔𒋙,EDIN-šu₂,"['complete', 'complete']",0.0,,Q003754,1,14
72215,Q003754.1.15,ultu[from]PRP,TA,ultu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,Q003754,1,15
72216,Q003754.1.16,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,Q003754,1,16
72217,Q003754.1.17,nabāru[(fish-)trap//cage]N'N$nabārti,{giš}na-bar-ti,nabārti,nabāru,cage,N,"['𒄑', '𒈾', '𒁇', '𒋾']",𒄑𒈾𒁇𒋾,{GIŠ}na-bar-ti,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003754,1,17
72218,Q003754.2.1,waṣû[go out//bring out]V'V$ušēṣūnimma,u₂-še-ṣu-nim-ma,ušēṣūnimma,waṣû,bring out,V,"['𒌑', '𒊺', '𒍮', '𒉏', '𒈠']",𒌑𒊺𒍮𒉏𒈠,u₂-še-ṣu-nim-ma,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,Q003754,2,1
72219,Q003754.2.2,ina[on]PRP,ina,ina,ina,on,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003754,2,2
72220,Q003754.2.3,šēpīya[foot]N,GIR₃.II-ia,šēpīya,šēpu,foot,N,"['𒄊', '𒅀', '𒅀']",𒄊𒅀𒅀,GIR₃.II-ia,"['complete', 'complete', 'complete']",0.0,,Q003754,2,3
72221,Q003754.2.4,ina[with]PRP,ina,ina,ina,with,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003754,2,4
72222,Q003754.2.5,ūṣu[arrow]N$,{giš}KAK.⸢TI,ūṣu,ūṣu,arrow,N,"['𒄑', '𒆕', '𒋾']",𒄑𒆕𒋾,{GIŠ}KAK.⸢TI⸣,"['complete', 'complete', 'damaged']",0.17,,Q003754,2,5
72223,Q003754.2.6,n,3-šu₂,,,,n,"['𒐈', '𒋙']",𒐈𒋙,⸢3-šu₂⸣,"['damaged', 'damaged']",0.5,NUMBER,Q003754,2,6
72224,Q003754.2.7,ashulma[pierce],as-hul⸣-[(ma)],ashulma,sahālu,pierce,V,"['𒊍', '𒅆𒌨', '𒈠']",𒊍𒅆𒌨𒈠,⸢as-hul⸣-[ma],"['damaged', 'damaged', 'missing']",0.67,,Q003754,2,7
72225,Q003754.2.8,napištašu[life]N,⸢na-piš⸣-ta-šu₂,napištašu,napištu,life,N,"['𒈾', '𒄫', '𒋫', '𒋙']",𒈾𒄫𒋫𒋙,⸢na-piš⸣-ta-šu₂,"['damaged', 'damaged', 'complete', 'complete']",0.25,,Q003754,2,8
72226,Q003754.2.9,ul[not]MOD,ul,ul,ul,not,MOD,['𒌌'],𒌌,ul,['complete'],0.0,,Q003754,2,9
72227,Q003754.2.10,iqti[finish]V,iq-ti,iqti,qatû,finish,V,"['𒅅', '𒋾']",𒅅𒋾,iq-ti,"['complete', 'complete']",0.0,,Q003754,2,10
72228,Q003754.3.1,ina[through]PRP,ina,ina,ina,through,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003754,3,1
