,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
24721,Q007540.2.1,%akk:x=,[...],,,,,['x'],x,[x],['missing'],1.0,,Q007540,2,1
24722,Q007540.2.2,%akk:x=,x,,,,,['x'],x,x,['complete'],0.0,,Q007540,2,2
24723,Q007540.2.3,%akk:x=,x,,,,,['x'],x,x,['complete'],0.0,,Q007540,2,3
24724,Q007540.2.4,%akk:x=,[...],,,,,['x'],x,[x],['missing'],1.0,,Q007540,2,4
24725,Q007540.3.1,ina[on]PRP,[ina,ina,ina,on,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q007540,3,1
24726,Q007540.3.2,kussî[throne]N,{giš}GU.ZA,kussî,kussû,throne,N,"['𒄑', '𒄖', '𒍝']",𒄑𒄖𒍝,{[GIŠ]}[GU].[ZA],"['missing', 'missing', 'missing']",1.0,,Q007540,3,2
24727,Q007540.3.3,Elamti[Elam]GN,{kur}ELAM.MA]{⸢ki⸣},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{[KUR]}[ELAM].[MA]{⸢KI⸣},"['missing', 'missing', 'missing', 'damaged']",0.88,GN,Q007540,3,3
24728,Q007540.3.4,ša[who]REL,ša,ša,ša,who,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q007540,3,4
24729,Q007540.3.5,lā[not]MOD,la,lā,lā,not,MOD,['𒆷'],𒆷,la,['complete'],0.0,,Q007540,3,5
24730,Q007540.3.6,išʾalu[ask]V,iš-a-lu,išʾalu,šâlu,ask,V,"['𒅖', '𒀀', '𒇻']",𒅖𒀀𒇻,iš-a-lu,"['complete', 'complete', 'complete']",0.0,,Q007540,3,6
24731,Q007540.3.7,šulmu[well-being]N,šul-mu,šulmu,šulmu,well-being,N,"['𒂄', '𒈬']",𒂄𒈬,šul-mu,"['complete', 'complete']",0.0,,Q007540,3,7
24732,Q007540.3.8,šarrūtiya[kingship]N,LUGAL-⸢u₂⸣-[ti-ia],šarrūtiya,šarrūtu,kingship,N,"['𒈗', '𒌑', '𒋾', '𒅀']",𒈗𒌑𒋾𒅀,LUGAL-⸢u₂⸣-[ti-ia],"['complete', 'damaged', 'missing', 'missing']",0.62,,Q007540,3,8
24733,Q007540.4.1,ana[for]PRP,[a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,Q007540,4,1
24734,Q007540.4.2,rēṣūt[assistance]N,re-ṣu-ut,rēṣūt,rēṣūtu,assistance,N,"['𒊑', '𒍮', '𒌓']",𒊑𒍮𒌓,[re-ṣu-ut],"['missing', 'missing', 'missing']",1.0,,Q007540,4,2
24735,Q007540.4.3,Šamaš-šuma-ukin[king of Babylon]RN,{m}{d}GIŠ.NU₁₁]-⸢MU⸣-GI.NA,Šamaš-šuma-ukin,Šamaš-šuma-ukin,king of Babylon,RN,"['𒁹', '𒀭', '𒄑', '𒉢', '𒈬', '𒄀', '𒈾']",𒁹𒀭𒄑𒉢𒈬𒄀𒈾,{[m]}{[d]}[GIŠ].[NU₁₁]-⸢MU⸣-GI.NA,"['missing', 'missing', 'missing', 'missing', 'damaged', 'complete', 'complete']",0.64,RN,Q007540,4,3
24736,Q007540.4.4,ahi[brother]N,ŠEŠ,ahi,ahu,brother,N,['𒋀'],𒋀,ŠEŠ,['complete'],0.0,,Q007540,4,4
24737,Q007540.4.5,lā[not]MOD,la,lā,lā,not,MOD,['𒆷'],𒆷,la,['complete'],0.0,,Q007540,4,5
24738,Q007540.4.6,kēni[reliable]AJ,ke-e-ni,kēni,kīnu,reliable,AJ,"['𒆠', '𒂊', '𒉌']",𒆠𒂊𒉌,ke-e-ni,"['complete', 'complete', 'complete']",0.0,,Q007540,4,6
24739,Q007540.4.7,illikamma[go]V,il-lik-am-ma,illikamma,alāku,go,V,"['𒅋', '𒌨', '𒄠', '𒈠']",𒅋𒌨𒄠𒈠,il-lik-am-ma,"['complete', 'complete', 'complete', 'complete']",0.0,,Q007540,4,7
24740,Q007540.4.8,ana[for]PRP,a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q007540,4,8
24741,Q007540.4.9,mithuṣ[fighting]'N,mit-hu-uṣ,mithuṣ,mahāṣu,fighting,V,"['𒁁', '𒄷', '𒊻']",𒁁𒄷𒊻,mit-hu-uṣ,"['complete', 'complete', 'complete']",0.0,,Q007540,4,9
24742,Q007540.4.10,ummānātiya[troops]N,⸢ERIM⸣.[HI.A-ia],ummānātiya,ummānu,troops,N,"['𒂟', '𒄭', '𒀀', '𒅀']",𒂟𒄭𒀀𒅀,⸢ERIM⸣.[HI].[A-ia],"['damaged', 'missing', 'missing', 'missing']",0.88,,Q007540,4,10
24743,Q007540.5.1,ina[through]PRP,[ina,ina,ina,through,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q007540,5,1
24744,Q007540.5.2,suppê[prayer]N,su-up-pe-e,suppê,supû,prayer,N,"['𒋢', '𒌒', '𒉿', '𒂊']",𒋢𒌒𒉿𒂊,[su-up-pe-e],"['missing', 'missing', 'missing', 'missing']",1.0,,Q007540,5,2
24745,Q007540.5.3,ša[that]REL,ša₂,ša,ša,that,REL,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q007540,5,3
24746,Q007540.5.4,Aššur[1]DN,AN].ŠAR₂,Aššur,Aššur,1,DN,"['𒀭', '𒊹']",𒀭𒊹,[AN].ŠAR₂,"['missing', 'complete']",0.5,DN,Q007540,5,4
24747,Q007540.5.5,u[and]CNJ,u,u,u,and,CNJ,['𒌋'],𒌋,u,['complete'],0.0,,Q007540,5,5
