,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
35565,Q007579.20.3,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q007579,20,3
35566,Q007579.20.4,puhur[assembly]N,UKKIN,puhur,puhru,assembly,N,['𒌺'],𒌺,UKKIN,['complete'],0.0,,Q007579,20,4
35567,Q007579.20.5,ummānātišu[troops]N,[ERIM.HI.A-šu₂,ummānātišu,ummānu,troops,N,"['𒂟', '𒄭', '𒀀', '𒋙']",𒂟𒄭𒀀𒋙,[ERIM].[HI].[A-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,,Q007579,20,5
35568,Q007579.20.6,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,20,6
35569,Q007579.23.1,anāku[I]IP,a-na-ku,anāku,anāku,I,IP,"['𒀀', '𒈾', '𒆪']",𒀀𒈾𒆪,a-na-ku,"['complete', 'complete', 'complete']",0.0,,Q007579,23,1
35570,Q007579.23.2,"Aššur-bani-apli[Ashurbanipal, king of Assyria]RN",{⸢m⸣}AN.ŠAR₂-DU₃-⸢A⸣,Aššur-bani-apli,Aššur-bani-apli,"Ashurbanipal, king of Assyria",RN,"['𒁹', '𒀭', '𒊹', '𒆕', '𒀀']",𒁹𒀭𒊹𒆕𒀀,{⸢m⸣}AN.ŠAR₂-DU₃-⸢A⸣,"['damaged', 'complete', 'complete', 'complete', 'damaged']",0.2,RN,Q007579,23,2
35571,Q007579.23.3,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,Q007579,23,3
35572,Q007579.23.4,māt[land]N,KUR,māt,mātu,land,N,['𒆳'],𒆳,KUR,['complete'],0.0,,Q007579,23,4
35573,Q007579.23.5,Aššur[Assyria]GN,aš-šur{ki},Aššur,Aššur,Assyria,GN,"['𒀸', '𒋩', '𒆠']",𒀸𒋩𒆠,aš-šur{KI},"['complete', 'complete', 'complete']",0.0,GN,Q007579,23,5
35574,Q007579.23.6,Aššur[]DN,AN.ŠAR₂,Aššur,Aššur,1,DN,"['𒀭', '𒊹']",𒀭𒊹,AN.ŠAR₂,"['complete', 'complete']",0.0,DN,Q007579,23,6
35575,Q007579.23.7,u[and]CNJ,u₃,u,u,and,CNJ,['𒅇'],𒅇,u₃,['complete'],0.0,,Q007579,23,7
35576,Q007579.23.8,Ištar[]DN,{d}iš₈-tar₂,Ištar,Ištar,1,DN,"['𒀭', '𒀹', '𒁯']",𒀭𒀹𒁯,{d}iš₈-tar₂,"['complete', 'complete', 'complete']",0.0,DN,Q007579,23,8
35577,Q007579.23.9,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,23,9
35578,Q007579.24.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q007579,24,1
35579,Q007579.24.2,pān[front]N,IGI,pān,pānu,front,N,['𒅆'],𒅆,IGI,['complete'],0.0,,Q007579,24,2
35580,Q007579.24.3,lilbur[be(come) old]V,lil-[bur],lilbur,labāru,be(come) old,V,"['𒇸', '𒁓']",𒇸𒁓,lil-[bur],"['complete', 'missing']",0.5,,Q007579,24,3
35581,Q007579.24.4,iššak[city-ruler]N,⸢ENSI₂⸣,iššak,iššiakku,city-ruler,N,['𒉺𒋼𒋛'],𒉺𒋼𒋛,⸢ENSI₂⸣,['damaged'],0.5,,Q007579,24,4
35582,Q007579.24.5,Aššur[1]DN,AN.ŠAR₂,Aššur,Aššur,1,DN,"['𒀭', '𒊹']",𒀭𒊹,AN.ŠAR₂,"['complete', 'complete']",0.0,DN,Q007579,24,5
35583,Q007579.24.6,abulli[city gate]N,⸢KA₂⸣.[GAL,abulli,abullu,city gate,N,"['𒆍', '𒃲']",𒆍𒃲,⸢KA₂⸣.[GAL],"['damaged', 'missing']",0.75,,Q007579,24,6
35584,Q007579.24.7,Aššur[1]DN,AN.ŠAR₂,Aššur,Aššur,1,DN,"['𒀭', '𒊹']",𒀭𒊹,[AN].[ŠAR₂],"['missing', 'missing']",1.0,DN,Q007579,24,7
35585,Q007579.24.8,u,(...)],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,24,8
35586,Q007579.25.1,ušazizzūinni[make stand]V,⸢u₂⸣-ša₂-⸢zi-zu⸣-[in-ni],ušazizzūinni,izuzzu,make stand,V,"['𒌑', '𒃻', '𒍣', '𒍪', '𒅔', '𒉌']",𒌑𒃻𒍣𒍪𒅔𒉌,⸢u₂⸣-ša₂-⸢zi-zu⸣-[in-ni],"['damaged', 'complete', 'damaged', 'damaged', 'missing', 'missing']",0.58,,Q007579,25,1
35587,Q007579.25.2,ṣēr[on]'PRP,⸢EDIN,ṣēr,ṣēru,on,N,['𒂔'],𒂔,⸢EDIN⸣,['damaged'],0.5,,Q007579,25,2
