,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
63680,Q003700.3.1,qurādīšu[warrior]N,{[lu₂}qu-ra]-⸢di-šu₂⸣,qurādīšu,qurādu,warrior,N,"['𒇽', '𒄣', '𒊏', '𒁲', '𒋙']",𒇽𒄣𒊏𒁲𒋙,{[LU₂]}[qu-ra]-⸢di-šu₂⸣,"['missing', 'missing', 'missing', 'damaged', 'damaged']",0.8,,Q003700,3,1
63681,Q003700.3.2,rasābu[smite]V$urassibū,u₂-ra-si-bu,urassibū,rasābu,smite,V,"['𒌑', '𒊏', '𒋛', '𒁍']",𒌑𒊏𒋛𒁍,u₂-ra-si-bu,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003700,3,2
63682,Q003700.3.3,ina[with]PRP,ina,ina,ina,with,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003700,3,3
63683,Q003700.3.4,kakki[weapon]N,{giš}TUKUL,kakki,kakku,weapon,N,"['𒄑', '𒆪']",𒄑𒆪,{GIŠ}TUKUL,"['complete', 'complete']",0.0,,Q003700,3,4
63684,Q003700.4.1,nišī[people]N,[UN].MEŠ,nišī,nišu,people,N,"['𒌦', '𒎌']",𒌦𒎌,[UN].MEŠ,"['missing', 'complete']",0.5,,Q003700,4,1
63685,Q003700.4.2,alpī[ox]N,GU₄.MEŠ,alpī,alpu,ox,N,"['𒄞', '𒎌']",𒄞𒎌,GU₄.MEŠ,"['complete', 'complete']",0.0,,Q003700,4,2
63686,Q003700.4.3,ṣēnī[sheep and goats]N,ṣe-e-ni,ṣēnī,ṣēnu,sheep and goats,N,"['𒍢', '𒂊', '𒉌']",𒍢𒂊𒉌,ṣe-e-ni,"['complete', 'complete', 'complete']",0.0,,Q003700,4,3
63687,Q003700.5.1,šallassu[booty]N,[šal]-⸢la⸣-su,šallassu,šallatu,booty,N,"['𒊩', '𒆷', '𒋢']",𒊩𒆷𒋢,[šal]-⸢la⸣-su,"['missing', 'damaged', 'complete']",0.5,,Q003700,5,1
63688,Q003700.5.2,kabittu[heavy]AJ,ka-bit-tu,kabittu,kabtu,heavy,AJ,"['𒅗', '𒂍', '𒌅']",𒅗𒂍𒌅,ka-bit-tu,"['complete', 'complete', 'complete']",0.0,,Q003700,5,2
63689,Q003700.5.3,šalālu[carry off]V$išlulūni,iš-lu-lu-u-ni,išlulūni,šalālu,carry off,V,"['𒅖', '𒇻', '𒇻', '𒌋', '𒉌']",𒅖𒇻𒇻𒌋𒉌,iš-lu-lu-u-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,Q003700,5,3
