,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
19231,Q007550.5.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007550,5,1
19232,Q007550.5.2,gimrišu[all]N,⸢gim-ri-šu₂⸣,gimrišu,gimru,all,N,"['𒁶', '𒊑', '𒋙']",𒁶𒊑𒋙,⸢gim-ri-šu₂⸣,"['damaged', 'damaged', 'damaged']",0.5,,Q007550,5,2
19233,Q007550.5.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007550,5,3
19234,Q007550.6.1,u,[...].⸢MEŠ⸣-šu₂,,,,u,"['x', '𒎌', '𒋙']",x𒎌𒋙,[x]⸢MEŠ⸣-šu₂,"['missing', 'damaged', 'complete']",0.5,,Q007550,6,1
19235,Q007550.6.2,būšašu[goods]N,NIG₂.ŠU.[MEŠ-šu₂,būšašu,būšu,goods,N,"['𒃻', '𒋗', '𒎌', '𒋙']",𒃻𒋗𒎌𒋙,NIG₂.ŠU.[MEŠ-šu₂],"['complete', 'complete', 'missing', 'missing']",0.5,,Q007550,6,2
19236,Q007550.6.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007550,6,3
19237,Q007550.7.1,"Ummanaldasi[son of Atta-metu and king of Elam, Humban-haltaš III]RN",{[m}um-man-al]-⸢da-si,Ummanaldasi,Ummanaldašu,"son of Atta-metu and king of Elam, Humban-haltaš III",RN,"['𒁹', '𒌝', '𒎙', '𒀠', '𒁕', '𒋛']",𒁹𒌝𒎙𒀠𒁕𒋛,{[m]}[um-man-al]-⸢da-si⸣,"['missing', 'missing', 'missing', 'missing', 'damaged', 'damaged']",0.83,RN,Q007550,7,1
19238,Q007550.7.2,šar[king]N,MAN⸣,šar,šarru,king,N,['𒎙'],𒎙,⸢MAN⸣,['damaged'],0.5,,Q007550,7,2
19239,Q007550.7.3,Elamti[Elam]GN,{kur}ELAM.MA{ki},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{KUR}ELAM.MA{KI},"['complete', 'complete', 'complete', 'complete']",0.0,GN,Q007550,7,3
19240,Q007550.7.4,ša[who]REL,ša,ša,ša,who,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q007550,7,4
19241,Q007550.7.5,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007550,7,5
19242,Q007550.7.6,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007550,7,6
19243,Q007550.8.1,u,x-⸢šu₂⸣-nu,,,,u,"['x', '𒋙', '𒉡']",x𒋙𒉡,x-⸢šu₂⸣-nu,"['complete', 'damaged', 'complete']",0.17,,Q007550,8,1
19244,Q007550.8.2,qereb[interior]N,qe₂-reb,qereb,qerbu,interior,N,"['𒆠', '𒆗']",𒆠𒆗,qe₂-reb,"['complete', 'complete']",0.0,,Q007550,8,2
19245,Q007550.8.3,mātišu[land]N,KUR-šu₂,mātišu,mātu,land,N,"['𒆳', '𒋙']",𒆳𒋙,KUR-šu₂,"['complete', 'complete']",0.0,,Q007550,8,3
19246,Q007550.8.4,ina[on]PRP,ina,ina,ina,on,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q007550,8,4
19247,Q007550.8.5,muhhi[skull]N,UGU,muhhi,muhhu,skull,N,['𒌋𒅗'],𒌋𒅗,UGU,['complete'],0.0,,Q007550,8,5
19248,Q007550.8.6,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007550,8,6
19249,Q007550.8.7,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007550,8,7
19250,Q007550.9.1,Paʾe[king of Elam]RN,{[m]}pa-ʾe-e,Paʾe,Paʾe,king of Elam,RN,"['𒁹', '𒉺', '𒀪', '𒂊']",𒁹𒉺𒀪𒂊,{[m]}pa-ʾe-e,"['missing', 'complete', 'complete', 'complete']",0.25,RN,Q007550,9,1
19251,Q007550.9.2,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,Q007550,9,2
19252,Q007550.9.3,Elamti[Elam]GN,{kur}ELAM.MA{ki},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{KUR}ELAM.MA{KI},"['complete', 'complete', 'complete', 'complete']",0.0,GN,Q007550,9,3
19253,Q007550.9.4,ša[who]REL,ša,ša,ša,who,REL,['𒊭'],𒊭,ša,['complete'],0.0,,Q007550,9,4
19254,Q007550.9.5,mehret[opposite]'PRP,⸢me₂⸣-[eh-ret,mehret,mehretu,opposite,N,"['𒈪', '𒄴', '𒈩']",𒈪𒄴𒈩,⸢me₂⸣-[eh-ret],"['damaged', 'missing', 'missing']",0.83,,Q007550,9,5
19255,Q007550.9.6,"Ummanaldasi[son of Atta-metu and king of Elam, Humban-haltaš III]RN",{m}um-man-al-da-si,Ummanaldasi,Ummanaldašu,"son of Atta-metu and king of Elam, Humban-haltaš III",RN,"['𒁹', '𒌝', '𒎙', '𒀠', '𒁕', '𒋛']",𒁹𒌝𒎙𒀠𒁕𒋛,{[m]}[um-man-al-da-si],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,RN,Q007550,9,6
19256,Q007550.9.7,ēpušu[constantly exercise]V,e-pu-šu,ēpušu,epēšu,constantly exercise,V,"['𒂊', '𒁍', '𒋗']",𒂊𒁍𒋗,[e-pu-šu],"['missing', 'missing', 'missing']",1.0,,Q007550,9,7
