,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
25028,Q003807.4.1,Aššur[1]DN,AN.ŠAR₂,Aššur,Aššur,1,DN,"['𒀭', '𒊹']",𒀭𒊹,AN.ŠAR₂,"['complete', 'complete']",0.0,DN,Q003807,4,1
25029,Q003807.4.2,x,{⸢d⸣}[...],,,,,"['𒀭', 'x']",𒀭x,{⸢d⸣}[x],"['damaged', 'missing']",0.75,,Q003807,4,2
25030,Q003807.5.1,Ninurta[1]DN,{d}⸢MAŠ,Ninurta,Ninurta,1,DN,"['𒀭', '𒈦']",𒀭𒈦,{d}⸢MAŠ⸣,"['complete', 'damaged']",0.25,DN,Q003807,5,1
25031,Q003807.5.2,Nergal[1]DN,{d⸣}U.⸢GUR⸣,Nergal,Nergal,1,DN,"['𒀭', '𒌋', '𒄥']",𒀭𒌋𒄥,{⸢d⸣}U.⸢GUR⸣,"['damaged', 'complete', 'damaged']",0.33,DN,Q003807,5,2
25032,Q003807.5.3,x,[...],,,,,['x'],x,[x],['missing'],1.0,,Q003807,5,3
25033,Q003807.6.1,x,x,,,,,['x'],x,x,['complete'],0.0,,Q003807,6,1
25034,Q003807.6.2,x,x,,,,,['x'],x,x,['complete'],0.0,,Q003807,6,2
25035,Q003807.6.3,x,x,,,,,['x'],x,x,['complete'],0.0,,Q003807,6,3
25036,Q003807.6.4,x,[...],,,,,['x'],x,[x],['missing'],1.0,,Q003807,6,4
25037,Q003807.13.1,x,[...],,,,,['x'],x,[x],['missing'],1.0,,Q003807,13,1
25038,Q003807.13.2,x,x,,,,,['x'],x,x,['complete'],0.0,,Q003807,13,2
25039,Q003807.13.3,x,[...],,,,,['x'],x,[x],['missing'],1.0,,Q003807,13,3
25040,Q003807.14.1,ardema[pursue]V,[ar-de-e-ma,ardema,redû,pursue,V,"['𒅈', '𒁲', '𒂊', '𒈠']",𒅈𒁲𒂊𒈠,[ar-de-e-ma],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003807,14,1
25041,Q003807.14.2,allik[go]V,al-lik],allik,alāku,go,V,"['𒀠', '𒌨']",𒀠𒌨,[al-lik],"['missing', 'missing']",1.0,,Q003807,14,2
25042,Q003807.14.3,ṣēr[against]'PRP,ṣe-⸢er⸣,ṣēr,ṣēru,against,N,"['𒍢', '𒅕']",𒍢𒅕,ṣe-⸢er⸣,"['complete', 'damaged']",0.25,,Q003807,14,3
25043,Q003807.14.4,"Ummanaldasi[son of Atta-metu and king of Elam, Humban-haltaš III]RN",{[m}um-man-al-da-si],Ummanaldasi,Ummanaldašu,"son of Atta-metu and king of Elam, Humban-haltaš III",RN,"['𒁹', '𒌝', '𒎙', '𒀠', '𒁕', '𒋛']",𒁹𒌝𒎙𒀠𒁕𒋛,{[m]}[um-man-al-da-si],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,RN,Q003807,14,4
25044,Q003807.15.1,šar[king]N,[MAN,šar,šarru,king,N,['𒎙'],𒎙,[MAN],['missing'],1.0,,Q003807,15,1
25045,Q003807.15.2,Elamti[Elam]GN,{kur}ELAM.MA{ki},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{[KUR]}[ELAM].[MA]{[KI]},"['missing', 'missing', 'missing', 'missing']",1.0,GN,Q003807,15,2
25046,Q003807.15.3,ša[who]REL,ša],ša,ša,who,REL,['𒊭'],𒊭,[ša],['missing'],1.0,,Q003807,15,3
25047,Q003807.15.4,lā[not]MOD,⸢la⸣,lā,lā,not,MOD,['𒆷'],𒆷,⸢la⸣,['damaged'],0.5,,Q003807,15,4
25048,Q003807.15.5,iknuša[bow down]V,ik-⸢nu⸣-[ša₂,iknuša,kanāšu,bow down,V,"['𒅅', '𒉡', '𒃻']",𒅅𒉡𒃻,ik-⸢nu⸣-[ša₂],"['complete', 'damaged', 'missing']",0.5,,Q003807,15,5
25049,Q003807.15.6,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,Q003807,15,6
25050,Q003807.15.7,nīriya[yoke]N,{giš}ŠUDUN-ia],nīriya,nīru,yoke,N,"['𒄑', '𒋙𒂈', '𒅀']",𒄑𒋙𒂈𒅀,{[GIŠ]}[ŠUDUN-ia],"['missing', 'missing', 'missing']",1.0,,Q003807,15,7
25051,Q003807.16.1,ina[during]PRP,[ina],ina,ina,during,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003807,16,1
25052,Q003807.16.2,mētiq[course]N,⸢me⸣-ti-⸢iq⸣,mētiq,mētequ,course,N,"['𒈨', '𒋾', '𒅅']",𒈨𒋾𒅅,⸢me⸣-ti-⸢iq⸣,"['damaged', 'complete', 'damaged']",0.33,,Q003807,16,2
25053,Q003807.16.3,gerriya[campaign]N,[ger-ri]-⸢ia⸣,gerriya,gerru,campaign,N,"['𒄫', '𒊑', '𒅀']",𒄫𒊑𒅀,[ger-ri]-⸢ia⸣,"['missing', 'missing', 'damaged']",0.83,,Q003807,16,3
25054,Q003807.16.4,Dur-Undasi[1]SN,{uru}BAD₃-{⸢m⸣}un-da-⸢a-si⸣,Dur-Undasi,Dur-Undasi,1,SN,"['𒌷', '𒂦', '𒁹', '𒌦', '𒁕', '𒀀', '𒋛']",𒌷𒂦𒁹𒌦𒁕𒀀𒋛,{URU}BAD₃-{⸢m⸣}un-da-⸢a-si⸣,"['complete', 'complete', 'damaged', 'complete', 'complete', 'damaged', 'damaged']",0.21,,Q003807,16,4
25055,Q003807.17.1,āl[city]N,URU,āl,ālu,city,N,['𒌷'],𒌷,URU,['complete'],0.0,,Q003807,17,1
25056,Q003807.17.2,šarrūtišu[kingship]N,LUGAL-u-ti-šu₂,šarrūtišu,šarrūtu,kingship,N,"['𒈗', '𒌋', '𒋾', '𒋙']",𒈗𒌋𒋾𒋙,LUGAL-u-ti-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003807,17,2
25057,Q003807.17.3,akšud[make conquer]V,ak-šu-ud,akšud,kašādu,make conquer,V,"['𒀝', '𒋗', '𒌓']",𒀝𒋗𒌓,ak-šu-ud,"['complete', 'complete', 'complete']",0.0,,Q003807,17,3
25058,Q003807.17.4,ummānātiya[troops]N,ERIM.HI.⸢A⸣-ia,ummānātiya,ummānu,troops,N,"['𒂟', '𒄭', '𒀀', '𒅀']",𒂟𒄭𒀀𒅀,ERIM.HI.⸢A⸣-ia,"['complete', 'complete', 'damaged', 'complete']",0.12,,Q003807,17,4
25059,Q003807.17.5,Idide[1]WN,{id₂}id-id-⸢e⸣,Idide,Idide,1,WN,"['𒀀𒇉', '𒀉', '𒀉', '𒂊']",𒀀𒇉𒀉𒀉𒂊,{ID₂}id-id-⸢e⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,Q003807,17,5
25060,Q003807.18.1,agû[flood]N,a-gu-u,agû,agû,flood,N,"['𒀀', '𒄖', '𒌋']",𒀀𒄖𒌋,a-gu-u,"['complete', 'complete', 'complete']",0.0,,Q003807,18,1
25061,Q003807.18.2,šamru[furious]AJ,šam-ru,šamru,šamru,furious,AJ,"['𒌑', '𒊒']",𒌑𒊒,šam-ru,"['complete', 'complete']",0.0,,Q003807,18,2
25062,Q003807.18.3,ēmurū[see]V,e-mu-ru,ēmurū,amāru,see,V,"['𒂊', '𒈬', '𒊒']",𒂊𒈬𒊒,e-mu-ru,"['complete', 'complete', 'complete']",0.0,,Q003807,18,3
25063,Q003807.18.4,iplahū[be(come) afraid]V,ip-la-hu,iplahū,palāhu,be(come) afraid,V,"['𒅁', '𒆷', '𒄷']",𒅁𒆷𒄷,ip-la-hu,"['complete', 'complete', 'complete']",0.0,,Q003807,18,4
25064,Q003807.18.5,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q003807,18,5
25065,Q003807.18.6,nēbertu[crossing(-place)//crossing]N'N$nēbārti,ne₂-ba-ar-ti,nēbārti,nēbertu,crossing,N,"['𒉌', '𒁀', '𒅈', '𒋾']",𒉌𒁀𒅈𒋾,ne₂-ba-ar-ti,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003807,18,6
25066,Q003807.19.1,Ištar[1]DN,{d}15,Ištar,Ištar,1,DN,"['𒀭', '𒌋𒐊']",𒀭𒌋𒐊,{d}15,"['complete', 'complete']",0.0,DN,Q003807,19,1
25067,Q003807.19.2,āšibat[inhabitant]N,a-ši-bat,āšibat,wāšibu,inhabitant,N,"['𒀀', '𒅆', '𒁁']",𒀀𒅆𒁁,a-ši-bat,"['complete', 'complete', 'complete']",0.0,,Q003807,19,2
25068,Q003807.19.3,Arba-ili[Arbela]SN,LIMMU₂-DINGIR{⸢ki⸣},Arba-ili,Arba-il,Arbela,SN,"['𒇹', '𒀭', '𒆠']",𒇹𒀭𒆠,LIMMU₂-DINGIR{⸢KI⸣},"['complete', 'complete', 'damaged']",0.17,,Q003807,19,3
25069,Q003807.19.4,ina[during]PRP,[ina],ina,ina,during,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003807,19,4
25070,Q003807.19.5,šāt[that]DET,⸢šat⸣,šāt,šāt,that,DET,['𒆳'],𒆳,⸢šat⸣,['damaged'],0.5,,Q003807,19,5
25071,Q003807.19.6,mūši[night]N,GE₆,mūši,mūšu,night,N,['𒈪'],𒈪,GE₆,['complete'],0.0,,Q003807,19,6
25072,Q003807.19.7,ana[to]PRP,a-⸢na⸣,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-⸢na⸣,"['complete', 'damaged']",0.25,,Q003807,19,7
25073,Q003807.19.8,ummānātiya[troops]N,ERIM.HI.A-ia,ummānātiya,ummānu,troops,N,"['𒂟', '𒄭', '𒀀', '𒅀']",𒂟𒄭𒀀𒅀,ERIM.HI.A-ia,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003807,19,8
25074,Q003807.20.1,šutti[dream]N,MAŠ₂.GI₆,šutti,šuttu,dream,N,"['𒈧', '𒈪']",𒈧𒈪,MAŠ₂.GI₆,"['complete', 'complete']",0.0,,Q003807,20,1
25075,Q003807.20.2,barû[see//make see]V'V$ušabrima,u₂-šab-ri-[ma],ušabrima,barû,make see,V,"['𒌑', '𒉺𒅁', '𒊑', '𒈠']",𒌑𒉺𒅁𒊑𒈠,u₂-šab-ri-[ma],"['complete', 'complete', 'complete', 'missing']",0.25,,Q003807,20,2
25076,Q003807.20.3,kīam[so]AV,⸢ki⸣-a-⸢am⸣,kīam,kīam,so,AV,"['𒆠', '𒀀', '𒄠']",𒆠𒀀𒄠,⸢ki⸣-a-⸢am⸣,"['damaged', 'complete', 'damaged']",0.33,,Q003807,20,3
25077,Q003807.20.4,qabû[say]V$iqbišunūti,iq-⸢bi⸣-[šu₂-nu-ti],iqbišunūti,qabû,say,V,"['𒅅', '𒁉', '𒋙', '𒉡', '𒋾']",𒅅𒁉𒋙𒉡𒋾,iq-⸢bi⸣-[šu₂-nu-ti],"['complete', 'damaged', 'missing', 'missing', 'missing']",0.7,,Q003807,20,4
25078,Q003807.21.1,umma[saying]PRP,um-ma,umma,umma,saying,PRP,"['𒌝', '𒈠']",𒌝𒈠,um-ma,"['complete', 'complete']",0.0,,Q003807,21,1
25079,Q003807.21.2,anāku[I]IP,a-na-ku,anāku,anāku,I,IP,"['𒀀', '𒈾', '𒆪']",𒀀𒈾𒆪,a-na-ku,"['complete', 'complete', 'complete']",0.0,,Q003807,21,2
25080,Q003807.21.3,allak[march]V,al-lak,allak,alāku,march,V,"['𒀠', '𒋃']",𒀠𒋃,al-lak,"['complete', 'complete']",0.0,,Q003807,21,3
25081,Q003807.21.4,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003807,21,4
