,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
50969,Q003869.3.1,banû[create//building]V'N$banê,[ba-ne]-e,banê,banû,building,V,"['𒁀', '𒉈', '𒂊']",𒁀𒉈𒂊,[ba-ne]-e,"['missing', 'missing', 'complete']",0.67,,Q003869,3,1
50970,Q003869.4.1,bītu[house]N,[E₂],bītu,bītu,house,N,['𒂍'],𒂍,[E₂],['missing'],1.0,,Q003869,4,1
50971,Q003869.4.2,šuātu[that]IP,⸢šu⸣-a-tu₂,šuātu,šuāti,that,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,⸢šu⸣-a-tu₂,"['damaged', 'complete', 'complete']",0.17,,Q003869,4,2
50972,Q003869.5.1,ina[in]PRP,[ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003869,5,1
50973,Q003869.5.2,libbiya[heart]N,lib₃-bi]-ia,libbiya,libbu,heart,N,"['𒊮', '𒁉', '𒅀']",𒊮𒁉𒅀,[lib₃-bi]-ia,"['missing', 'missing', 'complete']",0.67,,Q003869,5,2
50974,Q003869.6.1,ibbašima[exist]V,[ib-ba]-⸢ši⸣-ma,ibbašima,bašû,exist,V,"['𒅁', '𒁀', '𒅆', '𒈠']",𒅁𒁀𒅆𒈠,[ib-ba]-⸢ši⸣-ma,"['missing', 'missing', 'damaged', 'complete']",0.62,,Q003869,6,1
50975,Q003869.7.1,kabattī[mind]N,[ka-bat-ti],kabattī,kabattu,mind,N,"['𒅗', '𒁁', '𒋾']",𒅗𒁁𒋾,[ka-bat-ti],"['missing', 'missing', 'missing']",1.0,,Q003869,7,1
50976,Q003869.7.2,ubla[consider thoroughly]V,⸢ub⸣-la,ubla,wabālu,consider thoroughly,V,"['𒌒', '𒆷']",𒌒𒆷,⸢ub⸣-la,"['damaged', 'complete']",0.25,,Q003869,7,2
50977,Q003869.8.1,ina[on]PRP,[ina,ina,ina,on,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003869,8,1
50978,Q003869.8.2,uṣurtu[drawing//plan]N'N$uṣurtišu,GIŠ].⸢HUR⸣-šu₂,uṣurtišu,uṣurtu,plan,N,"['𒄑', '𒄯', '𒋙']",𒄑𒄯𒋙,[GIŠ].⸢HUR⸣-šu₂,"['missing', 'damaged', 'complete']",0.5,,Q003869,8,2
50979,Q003869.9.1,labīru[old]AJ$labīrtu,[la-bir-tu₂,labīrtu,labīru,old,AJ,"['𒆷', '𒄵', '𒌓']",𒆷𒄵𒌓,[la-bir-tu₂],"['missing', 'missing', 'missing']",1.0,,Q003869,9,1
50980,Q003869.9.2,ina[on]PRP,ina,ina,ina,on,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003869,9,2
50981,Q003869.9.3,maškanu[place of putting//site]N'N$maškanišu,MAŠ].⸢KAN₂⸣-šu₂,maškanišu,maškanu,site,N,"['𒈦', '𒃷', '𒋙']",𒈦𒃷𒋙,[MAŠ].⸢KAN₂⸣-šu₂,"['missing', 'damaged', 'complete']",0.5,,Q003869,9,3
50982,Q003869.10.1,mahrīti[former]AJ,[mah-ri]-ti,mahrīti,mahrû,former,AJ,"['𒈤', '𒊑', '𒋾']",𒈤𒊑𒋾,[mah-ri]-ti,"['missing', 'missing', 'complete']",0.67,,Q003869,10,1
50983,Q003869.11.1,ina[during]PRP,[ina,ina,ina,during,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003869,11,1
50984,Q003869.11.2,arhi[month]N,ITI,arhi,warhu,month,N,['𒌗'],𒌗,[ITI],['missing'],1.0,,Q003869,11,2
50985,Q003869.11.3,ṭābi[good]AJ,DUG₃.GA,ṭābi,ṭābu,good,AJ,"['𒄭', '𒂵']",𒄭𒂵,[DUG₃].[GA],"['missing', 'missing']",1.0,,Q003869,11,3
50986,Q003869.11.4,ūme[day]N,u₄-me],ūme,ūmu,day,N,"['𒌓', '𒈨']",𒌓𒈨,[u₄-me],"['missing', 'missing']",1.0,,Q003869,11,4
50987,Q003869.11.5,šemê[propitious]AJ,⸢še⸣-me-e,šemê,šemû,propitious,AJ,"['𒊺', '𒈨', '𒂊']",𒊺𒈨𒂊,⸢še⸣-me-e,"['damaged', 'complete', 'complete']",0.17,,Q003869,11,5
50988,Q003869.12.1,ina[through]PRP,[ina,ina,ina,through,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003869,12,1
50989,Q003869.12.2,šipir[craft]N,ši-pir,šipir,šipru,craft,N,"['𒅆', '𒌓']",𒅆𒌓,[ši-pir],"['missing', 'missing']",1.0,,Q003869,12,2
50990,Q003869.12.3,kakugallūtu[profession of incantation priest]N$kakugallūte,ka-ku₃-gal-lu]-te,kakugallūte,kakugallūtu,profession of incantation priest,N,"['𒅗', '𒆬', '𒃲', '𒇻', '𒋼']",𒅗𒆬𒃲𒇻𒋼,[ka-ku₃-gal-lu]-te,"['missing', 'missing', 'missing', 'missing', 'complete']",0.8,,Q003869,12,3
50991,Q003869.13.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003869,13,1
50992,Q003869.13.2,u,KA,,,,u,['𒅗'],𒅗,KA,['complete'],0.0,,Q003869,13,2
50993,Q003869.14.1,ina[with]PRP,[ina,ina,ina,with,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003869,14,1
50994,Q003869.14.2,pīli[limestone]N,{na₄}pi-i]-li,pīli,pīlu,limestone,N,"['𒎎', '𒉿', '𒄿', '𒇷']",𒎎𒉿𒄿𒇷,{[NA₄]}[pi-i]-li,"['missing', 'missing', 'missing', 'complete']",0.75,,Q003869,14,2
50995,Q003869.15.1,temmēnu[foundation]N$temmēnši,[tem-me]-⸢en⸣-ši,temmēnši,temmēnu,foundation,N,"['𒁴', '𒈨', '𒂗', '𒅆']",𒁴𒈨𒂗𒅆,[tem-me]-⸢en⸣-ši,"['missing', 'missing', 'damaged', 'complete']",0.62,,Q003869,15,1
