,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
1803,Q009291.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,2,1
1804,Q009291.2.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q009291,2,2
1805,Q009291.2.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q009291,2,3
1806,Q009291.2.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,2,4
1807,Q009291.3.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,3,1
1808,Q009291.3.2,u,⸢A₂⸣,,,,u,['𒀉'],𒀉,⸢A₂⸣,['damaged'],0.5,,Q009291,3,2
1809,Q009291.3.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q009291,3,3
1810,Q009291.3.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,3,4
1811,Q009291.4.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,4,1
1812,Q009291.4.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q009291,4,2
1813,Q009291.4.3,X,DA,,,,X,['𒁕'],𒁕,DA,['complete'],0.0,,Q009291,4,3
1814,Q009291.4.4,mē[(one) hundred]NU,ME,mē,meʾatu,(one) hundred,NU,['𒈨'],𒈨,ME,['complete'],0.0,,Q009291,4,4
1815,Q009291.4.5,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q009291,4,5
1816,Q009291.4.6,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,4,6
1817,Q009291.5.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q009291,5,1
1818,Q009291.5.2,uqnî[lapis lazuli]N,{na₄]}⸢ZA⸣.GIN₃,uqnî,uqnû,lapis lazuli,N,"['𒎎', '𒍝', '𒆳']",𒎎𒍝𒆳,{[NA₄]}⸢ZA⸣.GIN₃,"['missing', 'damaged', 'complete']",0.5,,Q009291,5,2
1819,Q009291.5.3,pappardilû[(a whitish semiprecious stone)]N,{na₄}BABBAR.DILI,pappardilû,pappardaliu,(a whitish semiprecious stone),N,"['𒎎', '𒌓', '𒀸']",𒎎𒌓𒀸,{NA₄}BABBAR.DILI,"['complete', 'complete', 'complete']",0.0,,Q009291,5,3
1820,Q009291.5.4,abnu[stone]N,NA₄,aban,abnu,stone,N,['𒎎'],𒎎,NA₄,['complete'],0.0,,Q009291,5,4
1821,Q009291.5.5,aqartu[valuable]AJ,a-⸢qar⸣-[tu,aqartu,waqru,valuable,AJ,"['𒀀', '𒃼', '𒌅']",𒀀𒃼𒌅,a-⸢qar⸣-[tu],"['complete', 'damaged', 'missing']",0.5,,Q009291,5,5
1822,Q009291.5.6,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,5,6
1823,Q009291.6.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q009291,6,1
