,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
12550,Q003819.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,2,1
12551,Q003819.2.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,2,2
12552,Q003819.2.3,x,⸢AN⸣,,,,,['𒀭'],𒀭,⸢AN⸣,['damaged'],0.5,,Q003819,2,3
12553,Q003819.2.4,u,[x],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,2,4
12554,Q003819.3.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,3,1
12555,Q003819.3.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,3,2
12556,Q003819.3.3,x,PI,,,,,['𒉿'],𒉿,PI,['complete'],0.0,,Q003819,3,3
12557,Q003819.3.4,x,ŠU₂,,,,,['𒋙'],𒋙,ŠU₂,['complete'],0.0,,Q003819,3,4
12558,Q003819.3.5,X,ŠUR,,,,X,['𒋩'],𒋩,ŠUR,['complete'],0.0,,Q003819,3,5
12559,Q003819.3.6,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,3,6
12560,Q003819.4.1,u,[...]-⸢pi⸣-sa-an-ni,,,,u,"['x', '𒉿', '𒊓', '𒀭', '𒉌']",x𒉿𒊓𒀭𒉌,[x]⸢pi⸣-sa-an-ni,"['missing', 'damaged', 'complete', 'complete', 'complete']",0.3,,Q003819,4,1
12561,Q003819.5.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,5,1
12562,Q003819.5.2,hīp[break(age)]N,hi-ip,hīp,hīpu,break(age),N,"['𒄭', '𒅁']",𒄭𒅁,hi-ip,"['complete', 'complete']",0.0,,Q003819,5,2
12563,Q003819.5.3,libbi[heart]N,lib₃-bi,libbi,libbu,heart,N,"['𒊮', '𒁉']",𒊮𒁉,lib₃-bi,"['complete', 'complete']",0.0,,Q003819,5,3
12564,Q003819.5.4,irši[come to have]V,ir-ši,irši,rašû,come to have,V,"['𒅕', '𒅆']",𒅕𒅆,ir-ši,"['complete', 'complete']",0.0,,Q003819,5,4
12565,Q003819.6.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,6,1
12566,Q003819.6.2,sehep[covering]N,⸢se⸣-he-ep,sehep,sehpu,covering,N,"['𒋛', '𒄭', '𒅁']",𒋛𒄭𒅁,⸢se⸣-he-ep,"['damaged', 'complete', 'complete']",0.17,,Q003819,6,2
12567,Q003819.6.3,mūti[death]N,mu-u-ti,mūti,mūtu,death,N,"['𒈬', '𒌋', '𒋾']",𒈬𒌋𒋾,mu-u-ti,"['complete', 'complete', 'complete']",0.0,,Q003819,6,3
12568,Q003819.7.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,7,1
12569,Q003819.7.2,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003819,7,2
12570,Q003819.7.3,našparti[message]N,na]-⸢aš₂⸣-par-ti,našparti,našpartu,message,N,"['𒈾', '𒀾', '𒌓', '𒋾']",𒈾𒀾𒌓𒋾,[na]-⸢aš₂⸣-par-ti,"['missing', 'damaged', 'complete', 'complete']",0.38,,Q003819,7,3
12571,Q003819.7.4,Ištar[1]DN,{d}15,Ištar,Ištar,1,DN,"['𒀭', '𒌋𒐊']",𒀭𒌋𒐊,{d}15,"['complete', 'complete']",0.0,DN,Q003819,7,4
12572,Q003819.8.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,8,1
12573,Q003819.8.2,ugallit[make tremble]V,u₂]-gal-lit,ugallit,galātu,make tremble,V,"['𒌑', '𒃲', '𒀖']",𒌑𒃲𒀖,[u₂]-gal-lit,"['missing', 'complete', 'complete']",0.33,,Q003819,8,2
12574,Q003819.8.3,ummānātišu[troops]N,ERIM.HI.A-šu₂,ummānātišu,ummānu,troops,N,"['𒂟', '𒄭', '𒀀', '𒋙']",𒂟𒄭𒀀𒋙,ERIM.HI.A-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003819,8,3
12575,Q003819.9.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,9,1
12576,Q003819.9.2,atbukma[pour (out)]V,⸢at⸣-bu-⸢uk⸣-[ma],atbukma,tabāku,pour (out),V,"['𒀜', '𒁍', '𒊌', '𒈠']",𒀜𒁍𒊌𒈠,⸢at⸣-bu-⸢uk⸣-[ma],"['damaged', 'complete', 'damaged', 'missing']",0.5,,Q003819,9,2
12577,Q003819.10.1,u,[...]-⸢us⸣-su,,,,u,"['x', '𒊻', '𒋢']",x𒊻𒋢,[x]⸢us⸣-su,"['missing', 'damaged', 'complete']",0.5,,Q003819,10,1
12578,Q003819.10.2,x,⸢A⸣,,,,,['𒀀'],𒀀,⸢A⸣,['damaged'],0.5,,Q003819,10,2
12579,Q003819.10.3,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,10,3
12580,Q003819.10.4,u,x],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,10,4
12581,Q003819.11.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,11,1
12582,Q003819.11.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,11,2
12583,Q003819.11.3,erši[bed]N,{giš}NA₂,erši,eršu,bed,N,"['𒄑', '𒈿']",𒄑𒈿,{GIŠ}NA₂,"['complete', 'complete']",0.0,,Q003819,11,3
12584,Q003819.11.4,x,⸢AN⸣,,,,,['𒀭'],𒀭,⸢AN⸣,['damaged'],0.5,,Q003819,11,4
12585,Q003819.11.5,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,11,5
12586,Q003819.11.6,u,x],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,11,6
12587,Q003819.12.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,12,1
12588,Q003819.12.2,u,x-na,,,,u,"['x', '𒈾']",x𒈾,x-na,"['complete', 'complete']",0.0,,Q003819,12,2
12589,Q003819.12.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,12,3
12590,Q003819.12.4,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,12,4
12591,Q003819.12.5,u,x],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,12,5
12592,Q003819.13.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,13,1
12593,Q003819.13.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,13,2
12594,Q003819.13.3,X,⸢KUM⸣,,,,X,['𒄣'],𒄣,⸢KUM⸣,['damaged'],0.5,,Q003819,13,3
12595,Q003819.13.4,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003819,13,4
12596,Q003819.13.5,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,13,5
12597,Q003819.13.6,u,x,,,,u,['x'],x,[x],['missing'],1.0,,Q003819,13,6
12598,Q003819.13.7,u,(x)],,,,u,['x'],x,[x],['missing'],1.0,,Q003819,13,7
