,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
55690,Q007618.2.1,ana[for]PRP,a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q007618,2,1
55691,Q007618.2.2,Nusku[1]DN,{d}nusku,Nusku,Nusku,1,DN,"['𒀭', '𒉺𒌆']",𒀭𒉺𒌆,{d}nusku,"['complete', 'complete']",0.0,DN,Q007618,2,2
55692,Q007618.2.3,bēli[lord]N,EN,bēli,bēlu,lord,N,['𒂗'],𒂗,EN,['complete'],0.0,,Q007618,2,3
55693,Q007618.2.4,šurbê[very great]AJ,šur-be₂-e,šurbê,šurbû,very great,AJ,"['𒋩', '𒁉', '𒂊']",𒋩𒁉𒂊,šur-be₂-e,"['complete', 'complete', 'complete']",0.0,,Q007618,2,4
55694,Q007618.2.5,dayyān[judge]N,da-a-⸢a⸣-an,dayyān,dayyānu,judge,N,"['𒁕', '𒀀', '𒀀', '𒀭']",𒁕𒀀𒀀𒀭,da-a-⸢a⸣-an,"['complete', 'complete', 'damaged', 'complete']",0.12,,Q007618,2,5
55695,Q007618.2.6,ṣīri[exalted]AJ,⸢ṣi⸣-[i-ri,ṣīri,ṣīru,exalted,AJ,"['𒍢', '𒄿', '𒊑']",𒍢𒄿𒊑,⸢ṣi⸣-[i-ri],"['damaged', 'missing', 'missing']",0.83,,Q007618,2,6
55696,Q007618.2.7,pāqid[carer]N,pa-qid,pāqid,pāqidu,carer,N,"['𒉺', '𒆤']",𒉺𒆤,[pa-qid],"['missing', 'missing']",1.0,,Q007618,2,7
55697,Q007618.2.8,nindabê[(food) offering]N,NIDBA.MEŠ,nindabê,nindabû,(food) offering,N,"['𒉻𒀭𒈹', '𒎌']",𒉻𒀭𒈹𒎌,[NIDBA].[MEŠ],"['missing', 'missing']",1.0,,Q007618,2,8
55698,Q007618.2.9,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q007618,2,9
55699,Q007618.2.10,kal[all]N,DU₃,kal,kalû,all,N,['𒆕'],𒆕,[DU₃],['missing'],1.0,,Q007618,2,10
55700,Q007618.2.11,Igigi[1]DN,{(d}i₂-gi₃-gi₃,Igigi,Igigi,1,DN,"['𒀭', '𒐊', '𒁹', '𒁹']",𒀭𒐊𒁹𒁹,{[d]}[i₂-gi₃-gi₃],"['missing', 'missing', 'missing', 'missing']",1.0,DN,Q007618,2,11
55701,Q007618.2.12,u[and]CNJ,u),u,u,and,CNJ,['𒌋'],𒌋,[u],['missing'],1.0,,Q007618,2,12
55702,Q007618.2.13,Anunnaki[1]DN,{d}GEŠ₂.U,Anunnaki,Anunnaku,1,DN,"['𒀭', '𒐕', '𒌋']",𒀭𒐕𒌋,{[d]}[GEŠ₂].[U],"['missing', 'missing', 'missing']",1.0,DN,Q007618,2,13
