,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
11239,Q003725.1.1,Teumman[king of Elam]RN,{m}te-um-man,Teumman,Teumman,king of Elam,RN,"['𒁹', '𒋼', '𒌝', '𒎙']",𒁹𒋼𒌝𒎙,{m}te-um-man,"['complete', 'complete', 'complete', 'complete']",0.0,RN,Q003725,1,1
11240,Q003725.1.2,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,Q003725,1,2
11241,Q003725.1.3,Elamti[Elam]GN,{kur}ELAM.MA{ki},Elamti,Elamtu,Elam,GN,"['𒆳', '𒉏', '𒈠', '𒆠']",𒆳𒉏𒈠𒆠,{KUR}ELAM.MA{KI},"['complete', 'complete', 'complete', 'complete']",0.0,GN,Q003725,1,3
11242,Q003725.1.4,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003725,1,4
11243,Q003725.1.5,ina[during]PRP,ina,ina,ina,during,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q003725,1,5
11244,Q003725.1.6,tāhāzi[battle]N,ME₃,tāhāzi,tāhāzu,battle,N,['𒀞'],𒀞,ME₃,['complete'],0.0,,Q003725,1,6
11245,Q003725.1.7,danni[strong]AJ,dan-ni,danni,dannu,strong,AJ,"['𒆗', '𒉌']",𒆗𒉌,dan-ni,"['complete', 'complete']",0.0,,Q003725,1,7
11246,Q003725.2.1,muhhuṣu[hurt]AJ,muh-hu-ṣu,muhhuṣu,muhhuṣu,hurt,AJ,"['𒌋𒅗', '𒄷', '𒍮']",𒌋𒅗𒄷𒍮,muh-hu-ṣu,"['complete', 'complete', 'complete']",0.0,,Q003725,2,1
11247,Q003725.2.2,Tammaritu[son of Teumman]RN$Tamritu,{m}tam-ri-i-tu₂,Tamritu,Tammaritu,son of Teumman,RN,"['𒁹', '𒌓', '𒊑', '𒄿', '𒌓']",𒁹𒌓𒊑𒄿𒌓,{m}tam-ri-i-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,RN,Q003725,2,2
11248,Q003725.2.3,mārišu[son]N,DUMU-šu₂,mārišu,māru,son,N,"['𒌉', '𒋙']",𒌉𒋙,DUMU-šu₂,"['complete', 'complete']",0.0,,Q003725,2,3
11249,Q003725.2.4,rabû[senior]AJ,⸢GAL⸣-u,rabû,rabû,senior,AJ,"['𒃲', '𒌋']",𒃲𒌋,⸢GAL⸣-u,"['damaged', 'complete']",0.25,,Q003725,2,4
11250,Q003725.3.1,qātu[hand]N$qāssu,ŠU.II-su,qāssu,qātu,hand,N,"['𒋗', '𒅀', '𒋢']",𒋗𒅀𒋢,ŠU.II-su,"['complete', 'complete', 'complete']",0.0,,Q003725,3,1
