,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
11085,Q007595.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007595,2,1
11086,Q007595.2.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007595,2,2
11087,Q007595.2.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007595,2,3
11088,Q007595.2.4,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007595,2,4
11089,Q007595.2.5,u,(x),,,,u,['x'],x,x,['complete'],0.0,,Q007595,2,5
11090,Q007595.2.6,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007595,2,6
11091,Q007595.3.1,šalšu[one-third]NU,[šal]-⸢šu₂,šalšu,šalšu,one-third,NU,"['𒊩', '𒋙']",𒊩𒋙,[šal]-⸢šu₂⸣,"['missing', 'damaged']",0.75,,Q007595,3,1
11092,Q007595.3.2,kalâti[kidney]N,UZU.ELLAG₂.MEŠ⸣,kalâti,kalītu,kidney,N,"['𒍜', '𒄵', '𒎌']",𒍜𒄵𒎌,⸢UZU⸣.⸢ELLAG₂⸣.⸢MEŠ⸣,"['damaged', 'damaged', 'damaged']",0.5,,Q007595,3,2
11093,Q007595.3.3,amhaṣma[beat]V,am-ha-aṣ-ma,amhaṣma,mahāṣu,beat,V,"['𒄠', '𒄩', '𒊍', '𒈠']",𒄠𒄩𒊍𒈠,am-ha-aṣ-ma,"['complete', 'complete', 'complete', 'complete']",0.0,,Q007595,3,3
11094,Q007595.3.4,ul[not]MOD,ul,ul,ul,not,MOD,['𒌌'],𒌌,ul,['complete'],0.0,,Q007595,3,4
11095,Q007595.3.5,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,Q007595,3,5
11096,Q007595.3.6,u,x],,,,u,['x'],x,[x],['missing'],1.0,,Q007595,3,6
11097,Q007595.3.7,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007595,3,7
11098,Q007595.3.8,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007595,3,8
11099,Q007595.3.9,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007595,3,9
11100,Q007595.4.1,rebû[fourth]AJ,⸢re⸣-bu-u,rebû,rebû,fourth,AJ,"['𒊑', '𒁍', '𒌋']",𒊑𒁍𒌋,⸢re⸣-bu-u,"['damaged', 'complete', 'complete']",0.17,,Q007595,4,1
11101,Q007595.4.2,muhha[skull]N,muh-ha,muhha,muhhu,skull,N,"['𒌋𒅗', '𒄩']",𒌋𒅗𒄩,muh-ha,"['complete', 'complete']",0.0,,Q007595,4,2
