,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
1887,Q007577.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,2,1
1888,Q007577.2.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007577,2,2
1889,Q007577.2.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,2,3
1890,Q007577.3.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,3,1
1891,Q007577.3.2,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,Q007577,3,2
1892,Q007577.3.3,nuhhi[pacifying]'N,nu-⸢uh-hi,nuhhi,nâhu,pacifying,V,"['𒉡', '𒄴', '𒄭']",𒉡𒄴𒄭,nu-⸢uh-hi⸣,"['complete', 'damaged', 'damaged']",0.33,,Q007577,3,3
1893,Q007577.3.4,libbi[heart]N,lib₃⸣-[bi,libbi,libbu,heart,N,"['𒊮', '𒁉']",𒊮𒁉,⸢lib₃⸣-[bi],"['damaged', 'missing']",0.75,,Q007577,3,4
1894,Q007577.3.5,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,3,5
1895,Q007577.4.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q007577,4,1
1896,Q007577.4.2,Elamaya[Elamite]EN,{kur]}⸢ELAM⸣.MA{ki}a-a,Elamaya,Elamu,Elamite,EN,"['𒆳', '𒉏', '𒈠', '𒆠', '𒀀', '𒀀']",𒆳𒉏𒈠𒆠𒀀𒀀,{[KUR]}⸢ELAM⸣.MA{KI}a-a,"['missing', 'damaged', 'complete', 'complete', 'complete', 'complete']",0.25,,Q007577,4,2
1897,Q007577.4.3,šunūti[those]IP,šu₂-nu-⸢ti⸣,šunūti,šunūti,those,IP,"['𒋙', '𒉡', '𒋾']",𒋙𒉡𒋾,šu₂-nu-⸢ti⸣,"['complete', 'complete', 'damaged']",0.17,,Q007577,4,3
1898,Q007577.4.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,4,4
1899,Q007577.5.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q007577,5,1
1900,Q007577.5.2,dīktašu[defeat]N,di-ik-ta-šu₂,dīktašu,dīktu,defeat,N,"['𒁲', '𒅅', '𒋫', '𒋙']",𒁲𒅅𒋫𒋙,[di-ik-ta-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,,Q007577,5,2
1901,Q007577.5.3,maʾassu[much]AJ,ma-(aʾ)-as]-⸢su⸣,maʾassu,mādu,much,AJ,"['𒈠', '𒀪', '𒊍', '𒋢']",𒈠𒀪𒊍𒋢,[ma-aʾ-as]-⸢su⸣,"['missing', 'missing', 'missing', 'damaged']",0.88,,Q007577,5,3
1902,Q007577.5.4,idūkū[kill]V,i-du-ku,idūkū,dâku,kill,V,"['𒄿', '𒁺', '𒆪']",𒄿𒁺𒆪,i-du-ku,"['complete', 'complete', 'complete']",0.0,,Q007577,5,4
1903,Q007577.5.5,qaqqad[head]N,SAG.⸢DU⸣,qaqqad,qaqqadu,head,N,"['𒊕', '𒁺']",𒊕𒁺,SAG.⸢DU⸣,"['complete', 'damaged']",0.25,,Q007577,5,5
1904,Q007577.5.6,Teumman[king of Elam]RN,{m}⸢te-um⸣-[man,Teumman,Teumman,king of Elam,RN,"['𒁹', '𒋼', '𒌝', '𒎙']",𒁹𒋼𒌝𒎙,{m}⸢te-um⸣-[man],"['complete', 'damaged', 'damaged', 'missing']",0.5,RN,Q007577,5,6
1905,Q007577.5.7,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,5,7
1906,Q007577.6.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,6,1
1907,Q007577.6.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007577,6,2
1908,Q007577.6.3,ālik[goer]N,a-⸢lik⸣,ālik,āliku,goer,N,"['𒀀', '𒌨']",𒀀𒌨,a-⸢lik⸣,"['complete', 'damaged']",0.25,,Q007577,6,3
1909,Q007577.6.4,pān[front]N,IGI,pān,pānu,front,N,['𒅆'],𒅆,IGI,['complete'],0.0,,Q007577,6,4
1910,Q007577.6.5,ṣābī[troops]N,ERIM.[MEŠ,ṣābī,ṣābu,troops,N,"['𒂟', '𒎌']",𒂟𒎌,ERIM.[MEŠ],"['complete', 'missing']",0.5,,Q007577,6,5
1911,Q007577.6.6,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,6,6
1912,Q007577.7.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,7,1
1913,Q007577.7.2,u,x-aš-šur,,,,u,"['x', '𒀸', '𒋩']",x𒀸𒋩,x-aš-šur,"['complete', 'complete', 'complete']",0.0,,Q007577,7,2
1914,Q007577.7.3,ša[that]REL,{lu₂}ša₂,ša,ša,that,REL,"['𒇽', '𒃻']",𒇽𒃻,{LU₂}ša₂,"['complete', 'complete']",0.0,,Q007577,7,3
1915,Q007577.7.4,pēthallī[cavalry]N,pet₂-hal,pēthallī,pēthallu,cavalry,N,"['𒁁', '𒄬']",𒁁𒄬,pet₂-hal,"['complete', 'complete']",0.0,,Q007577,7,4
1916,Q007577.7.5,ana[to]PRP,⸢a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,⸢a-na⸣,"['damaged', 'damaged']",0.5,,Q007577,7,5
1917,Q007577.7.6,dalāli[singing praise]'N,da-la⸣-[li,dalāli,dalālu,singing praise,V,"['𒁕', '𒆷', '𒇷']",𒁕𒆷𒇷,⸢da-la⸣-[li],"['damaged', 'damaged', 'missing']",0.67,,Q007577,7,6
1918,Q007577.7.7,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,7,7
1919,Q007577.8.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,8,1
1920,Q007577.8.2,X,⸢ṬU,,,,X,['𒂅'],𒂅,⸢ṬU⸣,['damaged'],0.5,,Q007577,8,2
1921,Q007577.8.3,X,KI⸣,,,,X,['𒆠'],𒆠,⸢KI⸣,['damaged'],0.5,,Q007577,8,3
1922,Q007577.8.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,8,4
1923,Q007577.10.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,10,1
1924,Q007577.10.2,u,x.MEŠ,,,,u,"['x', '𒎌']",x𒎌,x.MEŠ,"['complete', 'complete']",0.0,,Q007577,10,2
1925,Q007577.10.3,ušarbû[make surpassing]V,u₂-šar-bu-u,ušarbû,rabû,make surpassing,V,"['𒌑', '𒊬', '𒁍', '𒌋']",𒌑𒊬𒁍𒌋,u₂-šar-bu-u,"['complete', 'complete', 'complete', 'complete']",0.0,,Q007577,10,3
1926,Q007577.10.4,kakkīšu[weapon]N,{giš}⸢TUKUL⸣.MEŠ-šu₂,kakkīšu,kakku,weapon,N,"['𒄑', '𒆪', '𒎌', '𒋙']",𒄑𒆪𒎌𒋙,{GIŠ}⸢TUKUL⸣.MEŠ-šu₂,"['complete', 'damaged', 'complete', 'complete']",0.12,,Q007577,10,4
1927,Q007577.10.5,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,10,5
1928,Q007577.11.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007577,11,1
1929,Q007577.11.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007577,11,2
1930,Q007577.11.3,parê[mule]N,ANŠE.KUNGA.MEŠ,parê,parû,mule,N,"['𒀲', '𒋙𒀯', '𒎌']",𒀲𒋙𒀯𒎌,ANŠE.KUNGA.MEŠ,"['complete', 'complete', 'complete']",0.0,,Q007577,11,3
