,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
50345,Q007594.3.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,Q007594,3,1
50346,Q007594.3.2,ušarbiṣa[make lie down]V,u₂-šar]-⸢bi⸣-ṣa,ušarbiṣa,rabāṣu,make lie down,V,"['𒌑', '𒊬', '𒁉', '𒍝']",𒌑𒊬𒁉𒍝,[u₂-šar]-⸢bi⸣-ṣa,"['missing', 'missing', 'damaged', 'complete']",0.62,,Q007594,3,2
50347,Q007594.3.3,pargāniš[in security]AV,par-ga-niš($over ersaures$),pargāniš,pargāniš,in security,AV,"['𒌓', '𒂵', '𒎙']",𒌓𒂵𒎙,par-ga-niš,"['complete', 'complete', 'complete']",0.0,,Q007594,3,3
50348,Q007594.4.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007594,4,1
50349,Q007594.4.2,hurbāšu[frost//terror]N'N$hurbāša,⸢hur⸣-ba-ša,hurbāša,hurbāšu,terror,N,"['𒄯', '𒁀', '𒊭']",𒄯𒁀𒊭,⸢hur⸣-ba-ša,"['damaged', 'complete', 'complete']",0.17,,Q007594,4,2
50350,Q007594.4.3,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,Q007594,4,3
50351,Q007594.4.4,ṣēri[open country]N,EDIN,ṣēri,ṣēru,open country,N,['𒂔'],𒂔,EDIN,['complete'],0.0,,Q007594,4,4
50352,Q007594.5.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007594,5,1
50353,Q007594.5.2,x,x,,,,,['x'],x,x,['complete'],0.0,,Q007594,5,2
50354,Q007594.5.3,x,x,,,,,['x'],x,x,['complete'],0.0,,Q007594,5,3
50355,Q007594.5.4,šulme[well-being]N,šul-me,šulme,šulmu,well-being,N,"['𒂄', '𒈨']",𒂄𒈨,šul-me,"['complete', 'complete']",0.0,,Q007594,5,4
50356,Q007594.6.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007594,6,1
50357,Q007594.6.2,ittanallakū[constantly go]V,⸢it-ta⸣-na-al-⸢la⸣-ku,ittanallakū,alāku,constantly go,V,"['𒀉', '𒋫', '𒈾', '𒀠', '𒆷', '𒆪']",𒀉𒋫𒈾𒀠𒆷𒆪,⸢it-ta⸣-na-al-⸢la⸣-ku,"['damaged', 'damaged', 'complete', 'complete', 'damaged', 'complete']",0.25,,Q007594,6,2
50358,Q007594.6.3,bibil[desire]N,bi-bil,bibil,biblu,desire,N,"['𒁉', '𒉈']",𒁉𒉈,bi-bil,"['complete', 'complete']",0.0,,Q007594,6,3
50359,Q007594.6.4,libbišu[interior]N,ŠA₃-šu₂,libbišu,libbu,interior,N,"['𒊮', '𒋙']",𒊮𒋙,ŠA₃-šu₂,"['complete', 'complete']",0.0,,Q007594,6,4
50360,Q007594.7.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007594,7,1
