,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
9109,Q003715.3.1,ina[at]PRP,[ina,ina,ina,at,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003715,3,1
9110,Q003715.3.2,šattišu[year]N,MU].AN.⸢NA⸣-[šu₂,šattišu,šattu,year,N,"['𒈬', '𒀭', '𒈾', '𒋙']",𒈬𒀭𒈾𒋙,[MU].AN.⸢NA⸣-[šu₂],"['missing', 'complete', 'damaged', 'missing']",0.62,,Q003715,3,2
9111,Q003715.3.3,napištašu[life]N,na-piš-ta-šu₂,napištašu,napištu,life,N,"['𒈾', '𒄫', '𒋫', '𒋙']",𒈾𒄫𒋫𒋙,[na-piš-ta-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003715,3,3
9112,Q003715.3.4,iqti[finish]V,iq-ti,iqti,qatû,finish,V,"['𒅅', '𒋾']",𒅅𒋾,[iq-ti],"['missing', 'missing']",1.0,,Q003715,3,4
9113,Q003715.3.5,illik[go]V,il-lik,illik,alāku,go,V,"['𒅋', '𒌨']",𒅋𒌨,[il-lik],"['missing', 'missing']",1.0,,Q003715,3,5
9114,Q003715.3.6,nammušīšu[death]N,nam-mu-ši-šu₂],nammušīšu,nammušīšu,death,N,"['𒉆', '𒈬', '𒅆', '𒋙']",𒉆𒈬𒅆𒋙,[nam-mu-ši-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003715,3,6
9115,Q003715.4.1,Bel-iqiša[leader of the Gambulu]RN,{[m}EN-BA]-ša₂,Bel-iqiša,Bel-iqiša,leader of the Gambulu,RN,"['𒁹', '𒂗', '𒁀', '𒃻']",𒁹𒂗𒁀𒃻,{[m]}[EN-BA]-ša₂,"['missing', 'missing', 'missing', 'complete']",0.75,RN,Q003715,4,1
9116,Q003715.4.2,Gambulaya[of Gambulu]EN,{kur}gam-bu-⸢la⸣-[a-a,Gambulaya,Gambulayu,of Gambulu,EN,"['𒆳', '𒃵', '𒁍', '𒆷', '𒀀', '𒀀']",𒆳𒃵𒁍𒆷𒀀𒀀,{KUR}gam-bu-⸢la⸣-[a-a],"['complete', 'complete', 'complete', 'damaged', 'missing', 'missing']",0.42,,Q003715,4,2
9117,Q003715.4.3,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q003715,4,3
9118,Q003715.4.4,ṣalāʾu[throw (down)//cast off]V'V$iṣlû,iṣ-lu-u,iṣlû,ṣalāʾu,cast off,V,"['𒄑', '𒇻', '𒌋']",𒄑𒇻𒌋,[iṣ-lu-u],"['missing', 'missing', 'missing']",1.0,,Q003715,4,4
9119,Q003715.4.5,nīr[yoke]N,{giš}ŠUDUN,nīr,nīru,yoke,N,"['𒄑', '𒋙𒂈']",𒄑𒋙𒂈,{[GIŠ]}[ŠUDUN],"['missing', 'missing']",1.0,,Q003715,4,5
9120,Q003715.4.6,bēlūtiya[lordship]N,EN-ti-ia],bēlūtiya,bēlūtu,lordship,N,"['𒂗', '𒋾', '𒅀']",𒂗𒋾𒅀,[EN-ti-ia],"['missing', 'missing', 'missing']",1.0,,Q003715,4,6
9121,Q003715.5.1,ina[through]PRP,[ina,ina,ina,through,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,Q003715,5,1
