,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
69197,Q003879.1.1,ana[to]PRP,[a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,Q003879,1,1
69198,Q003879.1.2,Šala[1]DN,{d}ša-la],Šala,Šala,1,DN,"['𒀭', '𒊭', '𒆷']",𒀭𒊭𒆷,{[d]}[ša-la],"['missing', 'missing', 'missing']",1.0,DN,Q003879,1,2
69199,Q003879.1.3,bēltu[lady]N,⸢GAŠAN⸣,bēltu,bēltu,lady,N,['𒃽'],𒃽,⸢GAŠAN⸣,['damaged'],0.5,,Q003879,1,3
69200,Q003879.1.4,šurbûtu[greatness//supreme one]N'N$,šur-bu-tu₂,šurbûtu,šurbûtu,supreme one,N,"['𒋩', '𒁍', '𒌓']",𒋩𒁍𒌓,šur-bu-tu₂,"['complete', 'complete', 'complete']",0.0,,Q003879,1,4
69201,Q003879.1.5,hīrat[(equal ranking) wife]N,hi-rat,hīrat,hīrtu,(equal ranking) wife,N,"['𒄭', '𒋥']",𒄭𒋥,hi-rat,"['complete', 'complete']",0.0,,Q003879,1,5
69202,Q003879.1.6,Adad[1]DN,{d}IŠKUR,Adad,Adad,1,DN,"['𒀭', '𒅎']",𒀭𒅎,{d}IŠKUR,"['complete', 'complete']",0.0,DN,Q003879,1,6
69203,Q003879.1.7,šagapūru[mighty one]N$šagapīri,ša₂-ga-pi₂-ri,šagapīri,šagapūru,mighty one,N,"['𒃻', '𒂵', '𒁉', '𒊑']",𒃻𒂵𒁉𒊑,ša₂-ga-pi₂-ri,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003879,1,7
69204,Q003879.1.8,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,Q003879,1,8
69205,Q003879.1.9,lismu[running]N$lismi,KAŠ₄,lismi,lismu,running,N,['𒁽'],𒁽,KAŠ₄,['complete'],0.0,,Q003879,1,9
69206,Q003879.1.10,murtaṣnu[thunderous one]N$,mur-ta-aṣ-nu,murtaṣnu,murtaṣnu,thunderous one,N,"['𒄯', '𒋫', '𒊍', '𒉡']",𒄯𒋫𒊍𒉡,mur-ta-aṣ-nu,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003879,1,10
69207,Q003879.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003879,2,1
69208,Q003879.2.2,u,(x),,,,u,['x'],x,x,['complete'],0.0,,Q003879,2,2
69209,Q003879.2.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q003879,2,3
69210,Q003879.2.4,ilāni[god]N,DINGIR.MEŠ,ilāni,ilu,god,N,"['𒀭', '𒎌']",𒀭𒎌,DINGIR.MEŠ,"['complete', 'complete']",0.0,,Q003879,2,4
69211,Q003879.2.5,rabûti[great]AJ,GAL.MEŠ,rabûti,rabû,great,AJ,"['𒃲', '𒎌']",𒃲𒎌,GAL.MEŠ,"['complete', 'complete']",0.0,,Q003879,2,5
69212,Q003879.2.6,x,mu-šim-mu,,,,,"['𒈬', '𒋆', '𒈬']",𒈬𒋆𒈬,mu-šim-mu,"['complete', 'complete', 'complete']",0.0,,Q003879,2,6
69213,Q003879.2.7,x,<ši-ma>-a-ti,,,,,"['𒅆', '𒈠', '𒀀', '𒋾']",𒅆𒈠𒀀𒋾,ši-ma-a-ti,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003879,2,7
69214,Q003879.2.8,mīli[high water]N,ILLU,mīli,mīlu,high water,N,['𒀀𒆗'],𒀀𒆗,ILLU,['complete'],0.0,,Q003879,2,8
69215,Q003879.2.9,bānû[creator]N$bānât,DU₃-at,bānât,bānû,creator,N,"['𒆕', '𒀜']",𒆕𒀜,DU₃-at,"['complete', 'complete']",0.0,,Q003879,2,9
69216,Q003879.2.10,kalāme[all (of it)]N,DU₃.A.BI,kalāme,kalāma,all (of it),N,"['𒆕', '𒀀', '𒁉']",𒆕𒀀𒁉,DU₃.A.BI,"['complete', 'complete', 'complete']",0.0,,Q003879,2,10
69217,Q003879.3.1,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,Q003879,3,1
69218,Q003879.3.2,u,x,,,,u,['x'],x,[x],['missing'],1.0,,Q003879,3,2
69219,Q003879.3.3,u,(x)]-⸢at⸣,,,,u,"['x', '𒀜']",x𒀜,[x]-⸢at⸣,"['missing', 'damaged']",0.75,,Q003879,3,3
69220,Q003879.3.4,ašnan[grain]N,aš-na-an,ašnan,ašnan,grain,N,"['𒀸', '𒈾', '𒀭']",𒀸𒈾𒀭,aš-na-an,"['complete', 'complete', 'complete']",0.0,,Q003879,3,4
69221,Q003879.3.5,u[and]CNJ,u,u,u,and,CNJ,['𒌋'],𒌋,u,['complete'],0.0,,Q003879,3,5
69222,Q003879.3.6,ṭuhdi[abundance]N,ṭuh-di,ṭuhdi,ṭuhdu,abundance,N,"['𒃮', '𒁲']",𒃮𒁲,ṭuh-di,"['complete', 'complete']",0.0,,Q003879,3,6
69223,Q003879.3.7,mukillu[holder]N$mukillat,mu-kil-lat,mukillat,mukillu,holder,N,"['𒈬', '𒆸', '𒆳']",𒈬𒆸𒆳,mu-kil-lat,"['complete', 'complete', 'complete']",0.0,,Q003879,3,7
69224,Q003879.3.8,napišti[life]N,ZI-ti₃,napišti,napištu,life,N,"['𒍣', '𒁴']",𒍣𒁴,ZI-ti₃,"['complete', 'complete']",0.0,,Q003879,3,8
69225,Q003879.3.9,nišī[people]N,UN.MEŠ,nišī,nišu,people,N,"['𒌦', '𒎌']",𒌦𒎌,UN.MEŠ,"['complete', 'complete']",0.0,,Q003879,3,9
69226,Q003879.3.10,muballiṭu[one who brings life]N$muballiṭṭat,⸢mu⸣-bal-liṭ-ṭa-at,muballiṭṭat,muballiṭu,one who brings life,N,"['𒈬', '𒁄', '𒀖', '𒁕', '𒀜']",𒈬𒁄𒀖𒁕𒀜,⸢mu⸣-bal-liṭ-ṭa-at,"['damaged', 'complete', 'complete', 'complete', 'complete']",0.1,,Q003879,3,10
69227,Q003879.4.1,u,[(...)],,,,u,['x'],x,[x],['missing'],1.0,,Q003879,4,1
69228,Q003879.4.2,kalâ[all]N,ka-la,kalâ,kalû,all,N,"['𒅗', '𒆷']",𒅗𒆷,ka-la,"['complete', 'complete']",0.0,,Q003879,4,2
69229,Q003879.4.3,mimmāmu[everything]XP$mimmāma,mim-ma-ma,mimmāma,mimmāmu,everything,XP,"['𒊩', '𒈠', '𒈠']",𒊩𒈠𒈠,mim-ma-ma,"['complete', 'complete', 'complete']",0.0,,Q003879,4,3
69230,Q003879.5.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003879,5,1
69231,Q003879.5.2,kullat[all of]N,kul-lat,kullat,kullatu,all of,N,"['𒆰', '𒆳']",𒆰𒆳,kul-lat,"['complete', 'complete']",0.0,,Q003879,5,2
69232,Q003879.5.3,raggi[wicked person]N,rag-gi,raggi,raggu,wicked person,N,"['𒊩', '𒄀']",𒊩𒄀,rag-gi,"['complete', 'complete']",0.0,,Q003879,5,3
69233,Q003879.5.4,nāsih[one who removes]N,na-si-ih,nāsih,nāsihu,one who removes,N,"['𒈾', '𒋛', '𒄴']",𒈾𒋛𒄴,na-si-ih,"['complete', 'complete', 'complete']",0.0,,Q003879,5,4
69234,Q003879.5.5,nagab[(the) whole]N,na-gab,nagab,nagbu,(the) whole,N,"['𒈾', '𒃮']",𒈾𒃮,na-gab,"['complete', 'complete']",0.0,,Q003879,5,5
69235,Q003879.5.6,zāmânī[enemy]N,za-ma-ni,zāmânī,zāwiānu,enemy,N,"['𒍝', '𒈠', '𒉌']",𒍝𒈠𒉌,za-ma-ni,"['complete', 'complete', 'complete']",0.0,,Q003879,5,6
69236,Q003879.5.7,ālikat[goer]N,a-⸢li⸣-kat₃,ālikat,āliku,goer,N,"['𒀀', '𒇷', '𒆑']",𒀀𒇷𒆑,a-⸢li⸣-kat₃,"['complete', 'damaged', 'complete']",0.17,,Q003879,5,7
69237,Q003879.5.8,idu[arm//side]N'N$idī,A₂.II,idī,idu,side,N,"['𒀉', '𒅀']",𒀉𒅀,A₂.II,"['complete', 'complete']",0.0,,Q003879,5,8
69238,Q003879.5.9,šarri[king]N,LUGAL,šarri,šarru,king,N,['𒈗'],𒈗,LUGAL,['complete'],0.0,,Q003879,5,9
69239,Q003879.5.10,migru[consent//favourite]N'N$migiriša,mi-gir-⸢i-ša₂⸣,migiriša,migru,favourite,N,"['𒈪', '𒄫', '𒄿', '𒃻']",𒈪𒄫𒄿𒃻,mi-gir-⸢i-ša₂⸣,"['complete', 'complete', 'damaged', 'damaged']",0.25,,Q003879,5,10
69240,Q003879.6.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q003879,6,1
