,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
69915,Q003818.3.1,šarrāni[king]N,[LUGAL.MEŠ,šarrāni,šarru,king,N,"['𒈗', '𒎌']",𒈗𒎌,[LUGAL].[MEŠ],"['missing', 'missing']",1.0,,Q003818,3,1
69916,Q003818.3.2,pīhāti[governor]N,{lu₂}NAM.MEŠ,pīhāti,pīhātu,governor,N,"['𒇽', '𒉆', '𒎌']",𒇽𒉆𒎌,{[LU₂]}[NAM].[MEŠ],"['missing', 'missing', 'missing']",1.0,,Q003818,3,2
69917,Q003818.3.3,qēpāni[representative]N,{lu₂}qe-pa-a-ni,qēpāni,qīpu,representative,N,"['𒇽', '𒆥', '𒉺', '𒀀', '𒉌']",𒇽𒆥𒉺𒀀𒉌,{[LU₂]}[qe-pa-a-ni],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,,Q003818,3,3
69918,Q003818.3.4,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q003818,3,4
69919,Q003818.3.5,qereb[interior]N,qe₂-reb,qereb,qerbu,interior,N,"['𒆠', '𒆗']",𒆠𒆗,[qe₂-reb],"['missing', 'missing']",1.0,,Q003818,3,5
69920,Q003818.3.6,Muṣur[Egypt]GN,{kur}mu-ṣur,Muṣur,Muṣur,Egypt,GN,"['𒆳', '𒈬', '𒀫']",𒆳𒈬𒀫,{[KUR]}[mu-ṣur],"['missing', 'missing', 'missing']",1.0,GN,Q003818,3,6
69921,Q003818.3.7,upaqqidu[appoint]V,u₂-pa-qi₂-du,upaqqidu,paqādu,appoint,V,"['𒌑', '𒉺', '𒆠', '𒁺']",𒌑𒉺𒆠𒁺,[u₂-pa-qi₂-du],"['missing', 'missing', 'missing', 'missing']",1.0,,Q003818,3,7
69922,Q003818.3.8,abu[father]N,AD],abu,abu,father,N,['𒀜'],𒀜,[AD],['missing'],1.0,,Q003818,3,8
69923,Q003818.3.9,bānûya[engenderer]N,⸢ba⸣-nu-u-[a],bānûya,bānû,engenderer,N,"['𒁀', '𒉡', '𒌋', '𒀀']",𒁀𒉡𒌋𒀀,⸢ba⸣-nu-u-[a],"['damaged', 'complete', 'complete', 'missing']",0.38,,Q003818,3,9
69924,Q003818.4.1,ša[who]REL,[ša₂,ša,ša,who,REL,['𒃻'],𒃻,[ša₂],['missing'],1.0,,Q003818,4,1
